Mark,Competitor,Nat,Location,Discipline,Date,Results Score
1:41.46,DJAMEL SEDJATI,ALG,"Stade Louis II, Monaco (MON)",800m,12 JUL 2024,1284
1:41.56,DJAMEL SEDJATI,ALG,"Stade Charléty, Paris (FRA)",800m,07 JUL 2024,1281
1:41.58,EMMANUEL WANYONYI,KEN,"Stade Charléty, Paris (FRA)",800m,07 JUL 2024,1280
1:41.61,GABRIEL TUAL,FRA,"Stade Charléty, Paris (FRA)",800m,07 JUL 2024,1279
1:41.70,EMMANUEL WANYONYI,KEN,"Nyayo National Stadium, Nairobi (KEN)",800m,15 JUN 2024,1276
1:42.04,MOHAMED ATTAOUI,ESP,"Stade Louis II, Monaco (MON)",800m,12 JUL 2024,1265
1:42.08,AARON KEMEI CHEMININGWA,KEN,"Stade Charléty, Paris (FRA)",800m,07 JUL 2024,1264
1:42.08,WYCLIFE KINYAMAL,KEN,"Stade Charléty, Paris (FRA)",800m,07 JUL 2024,1264
1:42.10,GABRIEL TUAL,FRA,"Stade Louis II, Monaco (MON)",800m,12 JUL 2024,1264
1:42.13,AARON KEMEI CHEMININGWA,KEN,"Stade Louis II, Monaco (MON)",800m,12 JUL 2024,1263
1:42.27,BEN PATTISON,GBR,"Stade Louis II, Monaco (MON)",800m,12 JUL 2024,1258
1:42.43,ELIOTT CRESTAN,BEL,"Stade Charléty, Paris (FRA)",800m,07 JUL 2024,1253
1:42.50,WYCLIFE KINYAMAL,KEN,"Nyayo National Stadium, Nairobi (KEN)",800m,15 JUN 2024,1251
1:42.66,KOITATOI KIDALI,KEN,"Nyayo National Stadium, Nairobi (KEN)",800m,15 JUN 2024,1246
1:42.77,BRYCE HOPPEL,USA,"Hayward Field, Eugene, OR (USA)",800m,30 JUN 2024,1242
1:42.93,MARCO AROP,CAN,"Stade Louis II, Monaco (MON)",800m,12 JUL 2024,1237
1:43.13,ANDREAS KRAMER,SWE,"Stade Louis II, Monaco (MON)",800m,12 JUL 2024,1231
1:43.19,ELIOTT CRESTAN,BEL,"Stade Louis II, Monaco (MON)",800m,12 JUL 2024,1229
1:43.23,DJAMEL SEDJATI,ALG,"Olympiastadion, Stockholm (SWE)",800m,02 JUN 2024,1228
1:43.51,DJAMEL SEDJATI,ALG,"Mestský Stadion, Ostrava (CZE)",800m,28 MAY 2024,1219
1:43.53,MARCO AROP,CAN,"Complexe Sportif Claude-Robillard, Montréal (CAN)",800m,28 JUN 2024,1219
1:43.55,AARON KEMEI CHEMININGWA,KEN,"Campo di Atletica, Asti (ITA)",800m,23 MAY 2024,1218
1:43.57,EMMANUEL WANYONYI,KEN,"Nyayo National Stadium, Nairobi (KEN)",800m,20 APR 2024,1217
1:43.61,MARCO AROP,CAN,"Egret Stadium, Xiamen (CHN)",800m,20 APR 2024,1216
1:43.64,HOBBS KESSLER,USA,"Hayward Field, Eugene, OR (USA)",800m,30 JUN 2024,1215
1:43.66,WYCLIFE KINYAMAL,KEN,"Egret Stadium, Xiamen (CHN)",800m,20 APR 2024,1215
1:43.66,ANDREAS KRAMER,SWE,"Stade Charléty, Paris (FRA)",800m,07 JUL 2024,1215
1:43.68,BRYCE HOPPEL,USA,"Drake Stadium, Los Angeles, CA (USA)",800m,18 MAY 2024,1214
1:43.71,HOBBS KESSLER,USA,"Hayward Field, Eugene, OR (USA)",800m,28 JUN 2024,1213
1:43.71,MARCO AROP,CAN,"Complexe Sportif Claude-Robillard, Montréal (CAN)",800m,29 JUN 2024,1213
1:43.73,BRANDON MILLER,USA,"Hayward Field, Eugene, OR (USA)",800m,28 JUN 2024,1212
1:43.74,ALEX NGENO KIPNGETICH,KEN,"Nyayo National Stadium, Nairobi (KEN)",800m,15 JUN 2024,1212
1:43.75,CATALIN TECUCEANU,ITA,"Stade Louis II, Monaco (MON)",800m,12 JUL 2024,1212
1:43.79,AZEDDINE HABZ,FRA,"Stade Charléty, Paris (FRA)",800m,07 JUL 2024,1211
1:43.80,JOSH HOEY,USA,"Sportcentrum Wembley, Kortrijk (BEL)",800m,13 JUL 2024,1210
1:43.84,EMMANUEL WANYONYI,KEN,"Le Grand Stade, Marrakech (MAR)",800m,19 MAY 2024,1209
1:43.88,TSHEPISO MASALELA,BOT,"Egret Stadium, Xiamen (CHN)",800m,20 APR 2024,1208
1:43.94,KETHOBOGILE HAINGURA,BOT,"Bestmed Tuks Stadium, Pretoria (RSA)",800m,18 MAR 2024,1206
1:43.95,BENJAMIN ROBERT,FRA,"Stade Louis II, Monaco (MON)",800m,12 JUL 2024,1206
1:43.97,BRANDON MILLER,USA,"Hayward Field, Eugene, OR (USA)",800m,30 JUN 2024,1205
1:43.98,WYCLIFE KINYAMAL,KEN,"Le Grand Stade, Marrakech (MAR)",800m,19 MAY 2024,1205
1:43.99,GABRIEL TUAL,FRA,"Stade Josette et Roger Mikulak, Angers (FRA)",800m,30 JUN 2024,1204
1:44.01,CATALIN TECUCEANU,ITA,"Campo di Atletica, Asti (ITA)",800m,23 MAY 2024,1204
1:44.01,BRYCE HOPPEL,USA,"Hayward Field, Eugene, OR (USA)",800m,28 JUN 2024,1204
1:44.02,ISAIAH JEWETT,USA,"Drake Stadium, Los Angeles, CA (USA)",800m,18 MAY 2024,1204
1:44.04,JAMES PRESTON,NZL,"TSV Stadion, Pfungstadt (GER)",800m,25 MAY 2024,1203
1:44.07,ALEX NGENO KIPNGETICH,KEN,"Nyayo National Stadium, Nairobi (KEN)",800m,06 MAR 2024,1202
1:44.08,ANDREAS KRAMER,SWE,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",800m,20 JUN 2024,1202
1:44.10,AARON KEMEI CHEMININGWA,KEN,"Nyayo National Stadium, Nairobi (KEN)",800m,20 APR 2024,1201
1:44.10,JAKE WIGHTMAN,GBR,"Drake Stadium, Los Angeles, CA (USA)",800m,18 MAY 2024,1201
1:44.12,PEYTON CRAIG,AUS,"LAZ Wien, Wien (AUT)",800m,22 JUN 2024,1200
1:44.12,JOSH HOEY,USA,"Hayward Field, Eugene, OR (USA)",800m,30 JUN 2024,1200
1:44.13,YANIS MEZIANE,FRA,"Le Grand Stade, Marrakech (MAR)",800m,19 MAY 2024,1200
1:44.14,TSHEPISO MASALELA,BOT,"Le Grand Stade, Marrakech (MAR)",800m,19 MAY 2024,1200
1:44.22,CATALIN TECUCEANU,ITA,"Stadion Śląski, Chorzów (POL)",800m,18 MAY 2024,1197
1:44.22,EDMUND DU PLESSIS,RSA,"Morton Stadium, Dublin (IRL)",800m,12 JUL 2024,1197
1:44.22,JOSH HOEY,USA,"Percy Beard Track, Gainesville, FL (USA)",800m,19 JUL 2024,1197
1:44.24,AARON KEMEI CHEMININGWA,KEN,"Nyayo National Stadium, Nairobi (KEN)",800m,06 MAR 2024,1197
1:44.24,BRANDON MILLER,USA,"Drake Stadium, Los Angeles, CA (USA)",800m,18 MAY 2024,1197
1:44.25,CORENTIN LE CLEZIO,FRA,"LAZ Wien, Wien (AUT)",800m,22 JUN 2024,1196
1:44.28,ELIOTT CRESTAN,BEL,"Estadio Vallehermoso, Madrid (ESP)",800m,21 JUN 2024,1195
1:44.29,BRYCE HOPPEL,USA,"Olympiastadion, Stockholm (SWE)",800m,02 JUN 2024,1195
1:44.30,BENJAMIN ROBERT,FRA,"Stade Charléty, Paris (FRA)",800m,07 JUL 2024,1195
1:44.32,JONAH KOECH,USA,"Hayward Field, Eugene, OR (USA)",800m,30 JUN 2024,1194
1:44.37,MOHAMED ALI GOUANED,ALG,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",800m,20 JUN 2024,1193
1:44.41,ADRIÁN BEN,ESP,"Estadio Vallehermoso, Madrid (ESP)",800m,21 JUN 2024,1192
1:44.42,MOHAMED ALI GOUANED,ALG,"Stadion Śląski, Chorzów (POL)",800m,18 MAY 2024,1191
1:44.43,GABRIEL TUAL,FRA,"Stade Raymond Petit, Tomblaine (FRA)",800m,25 MAY 2024,1191
1:44.44,TSHEPISO MASALELA,BOT,"Olympiastadion, Stockholm (SWE)",800m,02 JUN 2024,1191
1:44.44,BEN PATTISON,GBR,"Olympiastadion, Stockholm (SWE)",800m,02 JUN 2024,1191
1:44.44,ABRAHAM ALVARADO,USA,"Hayward Field, Eugene, OR (USA)",800m,28 JUN 2024,1191
1:44.46,SAM WHITMARSH,USA,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",800m,30 MAR 2024,1190
1:44.46,ELLIOT GILES,GBR,"Stade Delort, Marseille (FRA)",800m,22 MAY 2024,1190
1:44.46,PIETER SISK,BEL,"Boudewijnstadion, Bruxelles (BEL)",800m,25 MAY 2024,1190
1:44.46,ELLIOT GILES,GBR,"Stade Raymond Petit, Tomblaine (FRA)",800m,25 MAY 2024,1190
1:44.47,JONAH KOECH,USA,"Hayward Field, Eugene, OR (USA)",800m,28 JUN 2024,1190
1:44.47,JONAH KOECH,USA,"Jack Kemp Stadium, Los Angeles, CA (USA)",800m,20 JUL 2024,1190
1:44.49,EDMUND DU PLESSIS,RSA,"Estadio Vallehermoso, Madrid (ESP)",800m,21 JUN 2024,1189
1:44.49,ELVIN JOSUÉ CANALES,HON,"Pista atletismo Fuente de la Niña, Guadalajara (ESP)",800m,23 JUN 2024,1189
1:44.51,AARON KEMEI CHEMININGWA,KEN,"Nyayo National Stadium, Nairobi (KEN)",800m,15 JUN 2024,1188
1:44.52,WYCLIFE KINYAMAL,KEN,"Nyayo National Stadium, Nairobi (KEN)",800m,06 MAR 2024,1188
1:44.53,MARK ENGLISH,IRL,"Estadio Vallehermoso, Madrid (ESP)",800m,21 JUN 2024,1188
1:44.55,SLIMANE MOULA,ALG,"Suzhou Olympic Sports Centre, Suzhou (CHN)",800m,27 APR 2024,1187
1:44.55,FESTUS LAGAT,KEN,"Franklin Field, Philadelphia, PA (USA)",800m,01 JUN 2024,1187
1:44.57,MOHAMED ATTAOUI,ESP,"Stade Raymond Petit, Tomblaine (FRA)",800m,25 MAY 2024,1187
1:44.57,JOSE MAITA,VEN,"Estadio Brigido Iriarte, Caracas (VEN)",800m,29 JUN 2024,1187
1:44.58,ISAIAH HARRIS,USA,"Drake Stadium, Los Angeles, CA (USA)",800m,18 MAY 2024,1186
1:44.58,MARCO AROP,CAN,"Foote Field, Edmonton (CAN)",800m,13 JUN 2024,1186
1:44.60,ABUBAKER HAYDAR ABDALLA,QAT,"Polideportivo Rey Juan Carlos, Ciudad Real (ESP)",800m,21 APR 2024,1186
1:44.60,MOHAMED ALI GOUANED,ALG,"Golęcin Stadion, Poznan (POL)",800m,23 JUN 2024,1186
1:44.62,ABDELATI EL GUESSE,MAR,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",800m,20 JUN 2024,1185
1:44.65,ANDREAS KRAMER,SWE,"Paavo Nurmen Stadion, Turku (FIN)",800m,18 JUN 2024,1184
1:44.65,SHANE COHEN,USA,"Hayward Field, Eugene, OR (USA)",800m,30 JUN 2024,1184
1:44.67,TOBIAS GRØNSTAD,NOR,"Bislett Stadion, Oslo (NOR)",800m,30 MAY 2024,1184
1:44.67,MOHAMED ALI GOUANED,ALG,"Stade d'Athletisme Pierre Voillequin, Troyes (FRA)",800m,16 JUN 2024,1184
1:44.69,MARK ENGLISH,IRL,"Paavo Nurmen Stadion, Turku (FIN)",800m,18 JUN 2024,1183
1:44.70,JONAH KOECH,USA,"Prince George's Sports and Learning Complex, Landover, MD (USA)",800m,04 JUN 2024,1183
1:44.71,JESUS TONATIU LOPEZ,MEX,"Jack Kemp Stadium, Los Angeles, CA (USA)",800m,11 MAY 2024,1182
1:44.73,LUKE BOYES,AUS,"SA Athletic Stadium, Adelaide (AUS)",800m,14 APR 2024,1182
1:44.73,BENJAMIN ROBERT,FRA,"Olympiastadion, Stockholm (SWE)",800m,02 JUN 2024,1182
1:44.73,PAUL ANSELMINI,FRA,"Stadio Olimpico, Roma (ITA)",800m,07 JUN 2024,1182
1:44.75,BEN PATTISON,GBR,"Le Grand Stade, Marrakech (MAR)",800m,19 MAY 2024,1181
1:44.75,SLIMANE MOULA,ALG,"Stade Delort, Marseille (FRA)",800m,22 MAY 2024,1181
1:44.76,ALEX NGENO KIPNGETICH,KEN,"Egret Stadium, Xiamen (CHN)",800m,20 APR 2024,1181
1:44.76,JOHN RIVERA,PUR,"Jack Kemp Stadium, Los Angeles, CA (USA)",800m,20 JUL 2024,1181
1:44.79,ELIAS NGENY,KEN,"Nyayo National Stadium, Nairobi (KEN)",800m,06 MAR 2024,1180
1:44.79,CALLUM DODDS,GBR,"Mary Peters Track, Belfast (GBR)",800m,11 MAY 2024,1180
1:44.79,BENJAMIN ROBERT,FRA,"Paavo Nurmen Stadion, Turku (FIN)",800m,18 JUN 2024,1180
1:44.79,MOAD ZAHAFI,MAR,"Pista atletismo Fuente de la Niña, Guadalajara (ESP)",800m,23 JUN 2024,1180
1:44.80,CLAYTON MURPHY,USA,"Hayward Field, Eugene, OR (USA)",800m,30 JUN 2024,1180
1:44.80,YUSUF BIZIMANA,GBR,"Jack Kemp Stadium, Los Angeles, CA (USA)",800m,20 JUL 2024,1180
1:44.81,ANDREAS KRAMER,SWE,"Egret Stadium, Xiamen (CHN)",800m,20 APR 2024,1179
1:44.81,PAUL ANSELMINI,FRA,"Estadio Vallehermoso, Madrid (ESP)",800m,21 JUN 2024,1179
1:44.82,JAKUB DUDYCHA,CZE,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",800m,20 JUN 2024,1179
1:44.83,NOAH KIBET,KEN,"Drake Stadium, Los Angeles, CA (USA)",800m,18 MAY 2024,1179
1:44.83,RYAN CLARKE,NED,"Bislett Stadion, Oslo (NOR)",800m,30 MAY 2024,1179
1:44.83,LABAN CHEPKWONY,KEN,"Nyayo National Stadium, Nairobi (KEN)",800m,15 JUN 2024,1179
1:44.85,CATALIN TECUCEANU,ITA,"Stade Raymond Troussier, Decines (FRA)",800m,04 MAY 2024,1178
1:44.85,TONY VAN DIEPEN,NED,"Bislett Stadion, Oslo (NOR)",800m,30 MAY 2024,1178
1:44.87,JAMES PRESTON,NZL,"Newtown Park Stadium, Wellington (NZL)",800m,15 MAR 2024,1177
1:44.87,KETHOBOGILE HAINGURA,BOT,"University of the Western Cape, Cape Town (RSA)",800m,29 APR 2024,1177
1:44.87,GABRIEL TUAL,FRA,"Stadio Olimpico, Roma (ITA)",800m,09 JUN 2024,1177
1:44.88,WYCLIFE KINYAMAL,KEN,"Suzhou Olympic Sports Centre, Suzhou (CHN)",800m,27 APR 2024,1177
1:44.88,MOHAMED ATTAOUI,ESP,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",800m,22 MAY 2024,1177
1:44.89,JAKUB DUDYCHA,CZE,"Stadio Olimpico, Roma (ITA)",800m,07 JUN 2024,1177
1:44.89,SAÚL ORDÓÑEZ,ESP,"Pista atletismo Fuente de la Niña, Guadalajara (ESP)",800m,23 JUN 2024,1177
1:44.90,FERGUSON CHERUIYOT ROTICH,KEN,"Nyayo National Stadium, Nairobi (KEN)",800m,20 APR 2024,1176
1:44.90,ABRAHAM ALVARADO,USA,"Hayward Field, Eugene, OR (USA)",800m,30 JUN 2024,1176
1:44.91,THOMAS RANDOLPH,GBR,"Mary Peters Track, Belfast (GBR)",800m,11 MAY 2024,1176
1:44.91,YANIS MEZIANE,FRA,"Stade Delort, Marseille (FRA)",800m,22 MAY 2024,1176
1:44.92,BRYCE HOPPEL,USA,"Glasgow Arena, Glasgow (GBR) (i)",800m,03 MAR 2024,1234
1:44.92,EDMUND DU PLESSIS,RSA,"Msunduzi Athletics Stadium, Pietermaritzburg (RSA)",800m,20 APR 2024,1176
1:44.92,MOAD ZAHAFI,MAR,"Estadio Vallehermoso, Madrid (ESP)",800m,21 JUN 2024,1176
1:44.92,SHANE COHEN,USA,"Hayward Field, Eugene, OR (USA)",800m,28 JUN 2024,1176
1:44.93,MOAD ZAHAFI,MAR,"Jack Kemp Stadium, Los Angeles, CA (USA)",800m,11 MAY 2024,1176
1:44.93,CATALIN TECUCEANU,ITA,"Stadio Olimpico, Roma (ITA)",800m,07 JUN 2024,1176
1:44.93,ALEX AMANKWA,GHA,"Jack Kemp Stadium, Los Angeles, CA (USA)",800m,20 JUL 2024,1176
1:44.95,MARK ENGLISH,IRL,"Bislett Stadion, Oslo (NOR)",800m,30 MAY 2024,1175
1:44.96,JESUS TONATIU LOPEZ,MEX,"Icahn Stadium, New York, NY (USA)",800m,09 JUN 2024,1175
1:44.96,TSHEPISO MASALELA,BOT,"Stade Charléty, Paris (FRA)",800m,07 JUL 2024,1175
1:44.97,SHANE COHEN,USA,"Hayward Field, Eugene, OR (USA)",800m,07 JUN 2024,1174
1:44.98,ALEX AMANKWA,GHA,"Prince George's Sports and Learning Complex, Landover, MD (USA)",800m,04 JUN 2024,1174
1:44.99,CATALIN TECUCEANU,ITA,"Campo Sportivo G. Draghicchio, Trieste (ITA)",800m,22 JUN 2024,1174
1:44.99,BENJAMIN ROBERT,FRA,"Stade Josette et Roger Mikulak, Angers (FRA)",800m,30 JUN 2024,1174
1:45.00,CATALIN TECUCEANU,ITA,"Gallur, Madrid (ESP) (i)",800m,23 FEB 2024,1231
1:45.00,CORENTIN LE CLEZIO,FRA,"TSV Stadion, Pfungstadt (GER)",800m,19 JUN 2024,1173
1:45.00,ÁLVARO DE ARRIBA,ESP,"Pista atletismo Fuente de la Niña, Guadalajara (ESP)",800m,23 JUN 2024,1173
1:45.01,ALEX NGENO KIPNGETICH,KEN,"Nyayo National Stadium, Nairobi (KEN)",800m,22 MAY 2024,1173
1:45.01,CLAYTON MURPHY,USA,"Percy Beard Track, Gainesville, FL (USA)",800m,19 JUL 2024,1173
1:45.02,ALEX NGENO KIPNGETICH,KEN,"Stade Omnisport de JAPOMA, Douala (CMR)",800m,23 JUN 2024,1173
1:45.03,GABRIEL TUAL,FRA,"Stadio Olimpico, Roma (ITA)",800m,08 JUN 2024,1173
1:45.03,RYAN CLARKE,NED,"Golęcin Stadion, Poznan (POL)",800m,23 JUN 2024,1173
1:45.03,MOHAMED ATTAOUI,ESP,"Estadi Olímpic Camilo Cano, La Nucia (ESP)",800m,30 JUN 2024,1173
1:45.06,PETER BOL,AUS,"SA Athletic Stadium, Adelaide (AUS)",800m,14 APR 2024,1172
1:45.06,TOBIAS GRØNSTAD,NOR,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",800m,11 MAY 2024,1172
1:45.06,WES FERGUSON,USA,"Icahn Stadium, New York, NY (USA)",800m,09 JUN 2024,1172
1:45.07,HOBBS KESSLER,USA,"Drake Stadium, Los Angeles, CA (USA)",800m,17 MAY 2024,1171
1:45.07,FERGUSON CHERUIYOT ROTICH,KEN,"Campo di Atletica, Asti (ITA)",800m,23 MAY 2024,1171
1:45.07,MARINO BLOUDEK,CRO,"Stadio Olimpico, Roma (ITA)",800m,07 JUN 2024,1171
1:45.08,BRYCE HOPPEL,USA,"Glasgow Arena, Glasgow (GBR) (i)",800m,02 MAR 2024,1229
1:45.08,ELIOTT CRESTAN,BEL,"Glasgow Arena, Glasgow (GBR) (i)",800m,02 MAR 2024,1229
1:45.09,MOHAMED ALI GOUANED,ALG,"Stade Delort, Marseille (FRA)",800m,22 MAY 2024,1171
1:45.09,MOHAMED ATTAOUI,ESP,"Stadio Olimpico, Roma (ITA)",800m,07 JUN 2024,1171
1:45.10,ELIOTT CRESTAN,BEL,"Arena Stade Couvert, Liévin (FRA) (i)",800m,10 FEB 2024,1228
1:45.10,FERGUSON CHERUIYOT ROTICH,KEN,"Stadion Śląski, Chorzów (POL)",800m,18 MAY 2024,1170
1:45.10,ELLIOT GILES,GBR,"Olympiastadion, Stockholm (SWE)",800m,02 JUN 2024,1170
1:45.10,SAM WHITMARSH,USA,"Hayward Field, Eugene, OR (USA)",800m,07 JUN 2024,1170
1:45.11,ISAAC NADER,POR,"Stade Delort, Marseille (FRA)",800m,22 MAY 2024,1170
1:45.11,SIMONE BARONTINI,ITA,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",800m,20 JUN 2024,1170
1:45.12,REECE SHARMAN-NEWELL,GBR,"Paula Radcliffe Stadium, Loughborough (GBR)",800m,22 JUN 2024,1170
1:45.12,TINODA MATSATSA,USA,"Hayward Field, Eugene, OR (USA)",800m,28 JUN 2024,1170
1:45.13,BARTOSZ KITLIŃSKI,POL,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",800m,20 JUN 2024,1169
1:45.13,LUKE BOYES,AUS,"Pista atletismo Fuente de la Niña, Guadalajara (ESP)",800m,23 JUN 2024,1169
1:45.14,KETHOBOGILE HAINGURA,BOT,"McArthur Stadium, Potchefstroom (RSA)",800m,14 MAR 2024,1169
1:45.14,JESUS TONATIU LOPEZ,MEX,"Cougar Athletic Stadium, Azusa, CA (USA)",800m,12 APR 2024,1169
1:45.14,JESUS TONATIU LOPEZ,MEX,"Foote Field, Edmonton (CAN)",800m,13 JUN 2024,1169
1:45.14,JAKUB DUDYCHA,CZE,"Golęcin Stadion, Poznan (POL)",800m,23 JUN 2024,1169
1:45.16,FESTUS LAGAT,KEN,"Nyayo National Stadium, Nairobi (KEN)",800m,15 JUN 2024,1169
1:45.16,ADRIÁN BEN,ESP,"Paavo Nurmen Stadion, Turku (FIN)",800m,18 JUN 2024,1169
1:45.16,REECE SHARMAN-NEWELL,GBR,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",800m,20 JUN 2024,1169
1:45.17,JAMES PRESTON,NZL,"Bungertstadion, Rehlingen (GER)",800m,19 MAY 2024,1168
1:45.17,TINODA MATSATSA,USA,"Franklin Field, Philadelphia, PA (USA)",800m,01 JUN 2024,1168
1:45.17,TIBO DE SMET,BEL,"Sportcentrum Wembley, Kortrijk (BEL)",800m,13 JUL 2024,1168
1:45.18,CLAYTON MURPHY,USA,"Suzhou Olympic Sports Centre, Suzhou (CHN)",800m,27 APR 2024,1168
1:45.19,MOHAMED ATTAOUI,ESP,"Stadio Olimpico, Roma (ITA)",800m,08 JUN 2024,1168
1:45.19,ALEX AMANKWA,GHA,"Franklin Field, Philadelphia, PA (USA)",800m,29 JUN 2024,1168
1:45.20,ELIOTT CRESTAN,BEL,"Complexe Sportif de Blocry, Louvain-La-Neuve (BEL) (i)",800m,18 FEB 2024,1225
1:45.20,MOHAMED ATTAOUI,ESP,"Stadio Olimpico, Roma (ITA)",800m,09 JUN 2024,1167
1:45.20,BRANNON KIDDER,USA,"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)",800m,12 JUL 2024,1167
1:45.21,ADRIÁN BEN,ESP,"Le Grand Stade, Marrakech (MAR)",800m,19 MAY 2024,1167
1:45.22,CORENTIN LE CLEZIO,FRA,"Stade Raymond Petit, Tomblaine (FRA)",800m,25 MAY 2024,1167
1:45.22,EDOSE IBADIN,NGR,"Prince George's Sports and Learning Complex, Landover, MD (USA)",800m,04 JUN 2024,1167
1:45.22,OUSSAMA CHERRAD,ALG,"Stade Colette Besson, Dijon (FRA)",800m,05 JUN 2024,1167
1:45.22,FILIP OSTROWSKI,POL,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",800m,20 JUN 2024,1167
1:45.23,JESUS TONATIU LOPEZ,MEX,"Drake Stadium, Los Angeles, CA (USA)",800m,17 MAY 2024,1166
1:45.23,AARON KEMEI CHEMININGWA,KEN,"Bungertstadion, Rehlingen (GER)",800m,19 MAY 2024,1166
1:45.23,HEITHEM CHENITEF,ALG,"Stade d'Athlétisme Hautepierre, Strasbourg (FRA)",800m,08 JUN 2024,1166
1:45.23,CORENTIN LE CLEZIO,FRA,"Stade Josette et Roger Mikulak, Angers (FRA)",800m,30 JUN 2024,1166
1:45.23,JAKUB DUDYCHA,CZE,"Stadion Mládeže, Zlín (CZE)",800m,30 JUN 2024,1166
1:45.24,CORENTIN LE CLEZIO,FRA,"Stade Raymond Troussier, Decines (FRA)",800m,04 MAY 2024,1166
1:45.24,ELLIOT GILES,GBR,"Stade Raymond Troussier, Decines (FRA)",800m,04 MAY 2024,1166
1:45.24,ÁLVARO DE ARRIBA,ESP,"Estadio Vallehermoso, Madrid (ESP)",800m,21 JUN 2024,1166
1:45.25,TUMO NKAPE,BOT,"University of the Western Cape, Cape Town (RSA)",800m,29 APR 2024,1166
1:45.25,TUMO NKAPE,BOT,"National Stadium, Gaborone (BOT)",800m,18 MAY 2024,1166
1:45.25,RYAN CLARKE,NED,"Stadio Olimpico, Roma (ITA)",800m,07 JUN 2024,1166
1:45.26,FRANCESCO PERNICI,ITA,"Estadio Vallehermoso, Madrid (ESP)",800m,21 JUN 2024,1166
1:45.26,MARIANO GARCÍA,ESP,"Estadio Vallehermoso, Madrid (ESP)",800m,21 JUN 2024,1166
1:45.27,ANDREAS KRAMER,SWE,"Glasgow Arena, Glasgow (GBR) (i)",800m,03 MAR 2024,1223
1:45.27,CHAMAR CHAMBERS,PAN,"Pista de Atletismo da Universidade Federal do Mato Grosso, Cuiaba (BRA)",800m,11 MAY 2024,1165
1:45.27,SAM WHITMARSH,USA,"Percy Beard Track, Gainesville, FL (USA)",800m,11 MAY 2024,1165
1:45.27,ANDREAS KRAMER,SWE,"Olympiastadion, Stockholm (SWE)",800m,02 JUN 2024,1165
1:45.27,ALEX BOTTERILL,GBR,"Estadio Vallehermoso, Madrid (ESP)",800m,21 JUN 2024,1165
1:45.27,EBRAHIM ALZOFAIRI,KUW,"Sportcentrum Wembley, Kortrijk (BEL)",800m,13 JUL 2024,1165
1:45.28,ABDELATI EL GUESSE,MAR,"Halle Stéphane Diagana, Lyon (FRA) (i)",800m,09 FEB 2024,1223
1:45.28,BENJAMIN ROBERT,FRA,"Glasgow Arena, Glasgow (GBR) (i)",800m,02 MAR 2024,1223
1:45.28,ISAIAH JEWETT,USA,"Jack Kemp Stadium, Los Angeles, CA (USA)",800m,11 MAY 2024,1165
1:45.28,FESTUS LAGAT,KEN,"Drake Stadium, Los Angeles, CA (USA)",800m,17 MAY 2024,1165
1:45.28,RYNARD SWANEPOEL,RSA,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",800m,24 MAY 2024,1165
1:45.29,NAVASKY ANDERSON,JAM,"Jack Kemp Stadium, Los Angeles, CA (USA)",800m,11 MAY 2024,1165
1:45.29,JOSE MAITA,VEN,"Pista de Atletismo da Universidade Federal do Mato Grosso, Cuiaba (BRA)",800m,15 MAY 2024,1165
1:45.29,PAUL ANSELMINI,FRA,"Stade Delort, Marseille (FRA)",800m,22 MAY 2024,1165
1:45.29,EBRAHIM ALZOFAIRI,KUW,"Stedelijke Atletiekpiste, Ninove (BEL)",800m,28 JUN 2024,1165
1:45.31,RYAN CLARKE,NED,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",800m,20 JUN 2024,1164
1:45.31,RYAN CLARKE,NED,"FBK Stadium, Hengelo (NED)",800m,29 JUN 2024,1164
1:45.32,ELIOTT CRESTAN,BEL,"Glasgow Arena, Glasgow (GBR) (i)",800m,03 MAR 2024,1222
1:45.32,RYAN CLARKE,NED,"Stade Delort, Marseille (FRA)",800m,22 MAY 2024,1164
1:45.33,ANDREAS KRAMER,SWE,"Stadio Olimpico, Roma (ITA)",800m,08 JUN 2024,1163
1:45.34,MOHAMED BELBACHIR,ALG,"Stade Raymond Troussier, Decines (FRA)",800m,04 MAY 2024,1163
1:45.34,VINCENT CRISP,USA,"Franklin Field, Philadelphia, PA (USA)",800m,01 JUN 2024,1163
1:45.34,ADRIÁN BEN,ESP,"Stadio Olimpico, Roma (ITA)",800m,08 JUN 2024,1163
1:45.34,SAMUEL CHAPPLE,NED,"Pista atletismo Fuente de la Niña, Guadalajara (ESP)",800m,23 JUN 2024,1163
