Mark,Competitor,Nat,Location,Discipline,Date,Results Score
3:33.96,COLIN SAHLMAN,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",1500m,13 APR 2024,1189
3:33.98,ROBERT FARKEN,GER,"Stadio Olimpico, Roma (ITA)",1500m,12 JUN 2024,1189
3:33.98,ROMAIN MORNET,FRA,"Stadion Allmend, Luzern (SUI)",1500m,16 JUL 2024,1189
3:34.01,JAKE WIGHTMAN,GBR,"Icahn Stadium, New York, NY (USA)",1500m,09 JUN 2024,1188
3:34.03,JAKOB INGEBRIGTSEN,NOR,"Sandnes Stadion, Sandnes (NOR)",1500m,28 JUN 2024,1188
3:34.04,HOBBS KESSLER,USA,"Armory Track&Field Center, New York, NY (USA) (i)",1500m,11 FEB 2024,1241
3:34.04,ROBERT FARKEN,GER,"Bungertstadion, Rehlingen (GER)",1500m,19 MAY 2024,1188
3:34.05,ERIC HOLT,USA,"Icahn Stadium, New York, NY (USA)",1500m,09 JUN 2024,1188
3:34.06,JAKE WIGHTMAN,GBR,"The Track at New Balance, Boston, MA (USA) (i)",1500m,04 FEB 2024,1241
3:34.09,CATHAL DOYLE,IRL,"Paavo Nurmen Stadion, Turku (FIN)",1500m,18 JUN 2024,1187
3:34.09,YARED NUGUSE,USA,"Hayward Field, Eugene, OR (USA)",1500m,22 JUN 2024,1187
3:34.11,NARVE GILJE NORDÅS,NOR,"Estadio Iberoamericano, Huelva (ESP)",1500m,30 APR 2024,1187
3:34.11,NEIL GOURLEY,GBR,"Stadio Olimpico, Roma (ITA)",1500m,12 JUN 2024,1187
3:34.12,VINCENT KIBET KETER,KEN,"Nyayo National Stadium, Nairobi (KEN)",1500m,20 APR 2024,1187
3:34.12,MAËL GOUYETTE,FRA,"Olympiastadion, Stockholm (SWE)",1500m,02 JUN 2024,1187
3:34.16,HOBBS KESSLER,USA,"Hayward Field, Eugene, OR (USA)",1500m,22 JUN 2024,1186
3:34.21,CRAIG ENGELS,USA,"Hayward Field, Eugene, OR (USA)",1500m,24 JUN 2024,1186
3:34.22,ADEL MECHAAL,ESP,"Le Grand Stade, Marrakech (MAR)",1500m,19 MAY 2024,1185
3:34.22,ISAAC NADER,POR,"Stadio Olimpico, Roma (ITA)",1500m,12 JUN 2024,1185
3:34.22,JESÚS GÓMEZ,ESP,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",1500m,14 JUN 2024,1185
3:34.23,ISAAC NADER,POR,"Atletická hala, Ostrava (CZE) (i)",1500m,30 JAN 2024,1239
3:34.25,ANDREW COSCORAN,IRL,"Suhaim bin Hamad Stadium, Doha (QAT)",1500m,10 MAY 2024,1185
