,Mark,Competitor,Nat,Location,Date,Results Score,Discipline
1609,2:25:16,Yuna DAITO,JPN,Osaka (JPN),28 JAN 2024,1180,Full
1610,2:25:23,Thalia VALDIVIA,PER,Rotterdam (NED),14 APR 2024,1179,Full
1611,2:25:25,Helen BEKELE,ETH,Osaka (JPN),25 FEB 2024,1178,Full
1612,2:25:25,Sichala KUMESHI,ETH,Gold Coast (AUS),07 JUL 2024,1178,Full
1613,2:25:25,Emebet NIGUSE,ETH,Ljubljana (SLO),20 OCT 2024,1178,Full
1614,2:25:31,Dakotah LINDWURM,USA,"Orlando, FL (USA)",03 FEB 2024,1177,Full
1615,2:25:32,Sintayehu TILAHUN,ETH,Seoul (KOR),17 MAR 2024,1177,Full
1616,2:25:35,Kaoutar FARKOUSSI,MAR,Rabat (MAR),21 APR 2024,1177,Full
1617,2:25:36,Alisa VAINIO,FIN,Berlin (GER),29 SEP 2024,1176,Full
1618,2:25:37,Nigsti HAFTU,ETH,Košice (SVK),06 OCT 2024,1176,Full
1619,2:25:43,Aberash DEMISSE,ETH,Frankfurt (GER),27 OCT 2024,1175,Full
1620,2:25:44,Kaede KAWAMURA,JPN,Osaka (JPN),25 FEB 2024,1175,Full
1621,2:25:45,Yuyu XIA,CHN,Nagoya (JPN),10 MAR 2024,1175,Full
1622,2:25:46,Jessica MCCLAIN,USA,"Orlando, FL (USA)",03 FEB 2024,1175,Full
1623,2:25:46,Georgina SCHWIENING,GBR,Frankfurt (GER),27 OCT 2024,1175,Full
1624,2:25:47,Philippa BOWDEN,GBR,Berlin (GER),29 SEP 2024,1175,Full
1625,2:25:47,Lauren HAGANS,USA,"Chicago, IL (USA)",13 OCT 2024,1175,Full
1626,2:25:58,Fantu ZEWUDE,ETH,Sevilla (ESP),18 FEB 2024,1173,Full
1627,2:26:00,Yenenesh TILAHUN DINKESA,ETH,Paris (FRA),07 APR 2024,1172,Full
1628,2:26:01,Medina Deme ARMINO,ETH,Paris (FRA),07 APR 2024,1172,Full
1629,2:26:03,Ethlemahu SINTAYEHU,ETH,Paris (FRA),07 APR 2024,1172,Full
1630,2:26:06,Abersh MINSEWO,ETH,Mumbai (IND),21 JAN 2024,1171,Full
1631,2:26:06,Sara HALL,USA,"Orlando, FL (USA)",03 FEB 2024,1171,Full
1632,2:26:08,Emily Chepkemoi ARUSIO,KEN,Paris (FRA),07 APR 2024,1171,Full
1633,2:26:08,Lonah Chemtai SALPETER,ISR,"Stade de France, Paris (FRA)",11 AUG 2024,1171,Full
1634,2:26:10,Caroline ROTICH,USA,"Orlando, FL (USA)",03 FEB 2024,1171,Full
1635,2:26:12,Hikari OHNISHI,JPN,Nagoya (JPN),10 MAR 2024,1170,Full
1636,2:26:14,Makenna MYLER,USA,"Orlando, FL (USA)",03 FEB 2024,1170,Full
1637,2:26:20,Naom JEBET,KEN,Madrid (ESP),28 APR 2024,1169,Full
1638,2:26:22,Faith CHEPKOECH,KEN,Wien (AUT),21 APR 2024,1169,Full
1639,2:26:23,Tadelech BEKELE,ETH,Lanzhou (CHN),26 MAY 2024,1169,Full
