,Mark,Competitor,Nat,Location,Date,Results Score,Discipline,Athlete ID,Number of Runs,Number of Bike Rides,Profile Visibility
1146,32:11.65,Olivia PRATT,USA,"Parliament Hill Fields Athletics Track, London (GBR)",18 MAY 2024,1129,10000m,11837770,4444,47,Public
1147,32:12.02,Kellyn TAYLOR,USA,"Hayward Field, Eugene, OR (USA)",29 JUN 2024,1128,10000m,13279564,1766,149,Public
1148,32:14.43,Carolina ROBLES,ESP,"Estadi Municipal La Bòbila, Gavá (ESP)",02 MAR 2024,1126,10000m,111183515,539,2,Public
1149,32:14.93,Konstanze KLOSTERHALFEN,GER,"Sportanlage am Oberen Wöhrd, Regensburg (GER)",13 APR 2024,1126,10000m,NA,NA,NA,NA
1150,32:15.24,Chloé HERBIET,BEL,"Atletiekbaan Brakkenstein, Nijmegen (NED)",18 MAY 2024,1126,10000m,61582475,95,0,Public
1151,32:15.91,Jasmijn LAU,NED,"Stadio Olimpico, Roma (ITA)",11 JUN 2024,1125,10000m,10375244,0,0,Private
1152,32:16.31,Shiho TACHIZAKO,JPN,"Athletics Stadium, Fukagawa (JPN)",17 JUL 2024,1125,10000m,NA,NA,NA,NA
1153,32:16.85,Nina CHYDENIUS,FIN,"Stadio Olimpico, Roma (ITA)",11 JUN 2024,1124,10000m,4754747,33,0,Private
1154,32:16.98,Jessica GOCKLEY-DAY,USA,"Jack Kemp Stadium, Los Angeles, CA (USA)",11 MAY 2024,1124,10000m,65853028,1685,7,Public
1155,32:17.50,Miriam DATTKE,GER,"Sportpark Orsbeck, Wassenberg (GER)",04 MAY 2024,1124,10000m,NA,NA,NA,NA
1156,32:17.92,Lyubov DUBROVSKAYA,RUS,"Kalininets Stadium, Yekaterinburg (RUS)",17 AUG 2024,1123,10000m,NA,NA,NA,NA
1157,32:17.95,Olga VOVK,RUS,"Kalininets Stadium, Yekaterinburg (RUS)",17 AUG 2024,1123,10000m,21209661,39,12,Public
1158,32:18.02,Ai HOSODA,JPN,"Municipal Stadium, Miyoshi (JPN)",18 MAY 2024,1123,10000m,NA,NA,NA,NA
1159,32:19.75,Maria YERMAKOVA,RUS,"Kalininets Stadium, Yekaterinburg (RUS)",17 AUG 2024,1122,10000m,NA,NA,NA,NA
1160,32:19.76,XiuZhen MA,CHN,"Jack Kemp Stadium, Los Angeles, CA (USA)",11 MAY 2024,1122,10000m,NA,NA,NA,NA
1161,32:20.70,Alyson CHURCHILL,USA,"Jack Kemp Stadium, Los Angeles, CA (USA)",11 MAY 2024,1121,10000m,30377151,0,0,Public
1162,32:21.76,Sanjivani JADHAV,IND,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",16 MAR 2024,1120,10000m,81388399,0,0,Public
1163,32:22.08,Kaede KAWAMURA,JPN,"Prefectural Shizuoka Stadium, Fukuroi (JPN)",03 MAY 2024,1120,10000m,NA,NA,NA,NA
1164,32:22.20,Hilda CHEBET,KEN,"Cobb Track and Angell Field, Palo Alto, CA (USA)",29 MAR 2024,1120,10000m,NA,NA,NA,NA
