,Mark,Competitor,Nat,Location,Date,Results Score,Discipline
0,1:41.11,Emmanuel WANYONYI,KEN,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1295,800m
1,1:41.20,Marco AROP,CAN,"Stade de France, Paris (FRA)",10 AUG 2024,1292,800m
2,1:41.46,Djamel SEDJATI,ALG,"Stade Louis II, Monaco (MON)",12 JUL 2024,1284,800m
3,1:41.61,Gabriel TUAL,FRA,"Stade Charléty, Paris (FRA)",07 JUL 2024,1279,800m
4,1:41.67,Bryce HOPPEL,USA,"Stade de France, Paris (FRA)",10 AUG 2024,1277,800m
5,1:42.04,Mohamed ATTAOUI,ESP,"Stade Louis II, Monaco (MON)",12 JUL 2024,1265,800m
6,1:42.08,Aaron Kemei CHEMININGWA,KEN,"Stade Charléty, Paris (FRA)",07 JUL 2024,1264,800m
7,1:42.08,Wyclife KINYAMAL,KEN,"Stade Charléty, Paris (FRA)",07 JUL 2024,1264,800m
8,1:42.27,Ben PATTISON,GBR,"Stade Louis II, Monaco (MON)",12 JUL 2024,1258,800m
9,1:42.43,Eliott CRESTAN,BEL,"Stade Charléty, Paris (FRA)",07 JUL 2024,1253,800m
10,1:42.66,Koitatoi KIDALI,KEN,"Nyayo National Stadium, Nairobi (KEN)",15 JUN 2024,1246,800m
11,1:42.82,Tshepiso MASALELA,BOT,"Stade de France, Paris (FRA)",10 AUG 2024,1241,800m
12,1:43.13,Andreas KRAMER,SWE,"Stade Louis II, Monaco (MON)",12 JUL 2024,1231,800m
13,1:43.48,Pieter SISK,BEL,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1220,800m
14,1:43.50,Max BURGIN,GBR,"Stade de France, Paris (FRA)",09 AUG 2024,1220,800m
15,1:43.64,Hobbs KESSLER,USA,"Hayward Field, Eugene, OR (USA)",30 JUN 2024,1215,800m
16,1:43.73,Brandon MILLER,USA,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1212,800m
17,1:43.74,Alex Ngeno KIPNGETICH,KEN,"Nyayo National Stadium, Nairobi (KEN)",15 JUN 2024,1212,800m
18,1:43.75,Catalin TECUCEANU,ITA,"Stade Louis II, Monaco (MON)",12 JUL 2024,1212,800m
19,1:43.79,Azeddine HABZ,FRA,"Stade Charléty, Paris (FRA)",07 JUL 2024,1211,800m
20,1:43.80,Josh HOEY,USA,"Sportcentrum Wembley, Kortrijk (BEL)",13 JUL 2024,1210,800m
21,1:43.94,Kethobogile HAINGURA,BOT,"Bestmed Tuks Stadium, Pretoria (RSA)",18 MAR 2024,1206,800m
22,1:43.95,Benjamin ROBERT,FRA,"Stade Louis II, Monaco (MON)",12 JUL 2024,1206,800m
23,1:44.02,Isaiah JEWETT,USA,"Drake Stadium, Los Angeles, CA (USA)",18 MAY 2024,1204,800m
24,1:44.04,James PRESTON,NZL,"TSV Stadion, Pfungstadt (GER)",25 MAY 2024,1203,800m
25,1:44.10,Jake WIGHTMAN,GBR,"Drake Stadium, Los Angeles, CA (USA)",18 MAY 2024,1201,800m
26,1:44.10,Festus LAGAT,KEN,"George Mason Stadium, Fairfax, VA (USA)",12 AUG 2024,1201,800m
27,1:44.11,Peyton CRAIG,AUS,"Stade de France, Paris (FRA)",09 AUG 2024,1201,800m
28,1:44.13,Yanis MEZIANE,FRA,"Le Grand Stade, Marrakech (MAR)",19 MAY 2024,1200,800m
29,1:44.22,Edmund DU PLESSIS,RSA,"Morton Stadium, Santry, Dublin (IRL)",12 JUL 2024,1197,800m
30,1:44.25,Corentin LE CLEZIO,FRA,"LAZ Wien, Wien (AUT)",22 JUN 2024,1196,800m
31,1:44.32,Jonah KOECH,USA,"Hayward Field, Eugene, OR (USA)",30 JUN 2024,1194,800m
32,1:44.32,Elliot GILES,GBR,"Stade Olympique de la Pontaise, Lausanne (SUI)",22 AUG 2024,1194,800m
33,1:44.37,Mohamed Ali GOUANED,ALG,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",20 JUN 2024,1193,800m
34,1:44.41,Adrián BEN,ESP,"Estadio Vallehermoso, Madrid (ESP)",21 JUN 2024,1192,800m
35,1:44.44,Abraham ALVARADO,USA,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1191,800m
36,1:44.46,Sam WHITMARSH,USA,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",30 MAR 2024,1190,800m
37,1:44.49,Elvin Josué CANALES,HON,"Pista atletismo Fuente de la Niña, Guadalajara (ESP)",23 JUN 2024,1189,800m
38,1:44.53,Mark ENGLISH,IRL,"Estadio Vallehermoso, Madrid (ESP)",21 JUN 2024,1188,800m
39,1:44.55,Slimane MOULA,ALG,"Suzhou Olympic Sports Centre, Suzhou (CHN)",27 APR 2024,1187,800m
40,1:44.57,Jose MAITA,VEN,"Estadio Brigido Iriarte, Caracas (VEN)",29 JUN 2024,1187,800m
41,1:44.57,Tobias GRØNSTAD,NOR,"Stade de France, Paris (FRA)",08 AUG 2024,1187,800m
42,1:44.58,Isaiah HARRIS,USA,"Drake Stadium, Los Angeles, CA (USA)",18 MAY 2024,1186,800m
43,1:44.60,Abubaker Haydar ABDALLA,QAT,"Polideportivo Rey Juan Carlos, Ciudad Real (ESP)",21 APR 2024,1186,800m
44,1:44.62,Abdelati EL GUESSE,MAR,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",20 JUN 2024,1185,800m
45,1:44.65,Shane COHEN,USA,"Hayward Field, Eugene, OR (USA)",30 JUN 2024,1184,800m
46,1:44.70,Ryan CLARKE,NED,"Stade de France, Paris (FRA)",08 AUG 2024,1183,800m
47,1:44.71,Jesus Tonatiu LOPEZ,MEX,"Jack Kemp Stadium, Los Angeles, CA (USA)",11 MAY 2024,1182,800m
48,1:44.71,Alex AMANKWA,GHA,"George Mason Stadium, Fairfax, VA (USA)",12 AUG 2024,1182,800m
49,1:44.73,Luke BOYES,AUS,"SA Athletic Stadium, Adelaide (AUS)",14 APR 2024,1182,800m
50,1:44.73,Paul ANSELMINI,FRA,"Stadio Olimpico, Roma (ITA)",07 JUN 2024,1182,800m
51,1:44.76,John RIVERA,PUR,"Jack Kemp Stadium, Los Angeles, CA (USA)",20 JUL 2024,1181,800m
52,1:44.79,Elias NGENY,KEN,"Nyayo National Stadium, Nairobi (KEN)",06 MAR 2024,1180,800m
53,1:44.79,Callum DODDS,GBR,"Mary Peters Track, Belfast (GBR)",11 MAY 2024,1180,800m
54,1:44.79,Moad ZAHAFI,MAR,"Pista atletismo Fuente de la Niña, Guadalajara (ESP)",23 JUN 2024,1180,800m
55,1:44.80,Clayton MURPHY,USA,"Hayward Field, Eugene, OR (USA)",30 JUN 2024,1180,800m
56,1:44.80,Yusuf BIZIMANA,GBR,"Jack Kemp Stadium, Los Angeles, CA (USA)",20 JUL 2024,1180,800m
57,1:44.80,Ko OCHIAI,JPN,"Hakatanomori Athletic Stadium, Fukuoka (JPN)",31 JUL 2024,1180,800m
58,1:44.82,Jakub DUDYCHA,CZE,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",20 JUN 2024,1179,800m
59,1:44.83,Noah KIBET,KEN,"Drake Stadium, Los Angeles, CA (USA)",18 MAY 2024,1179,800m
60,1:44.83,Laban CHEPKWONY,KEN,"Nyayo National Stadium, Nairobi (KEN)",15 JUN 2024,1179,800m
61,1:44.85,Tony VAN DIEPEN,NED,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1178,800m
62,1:44.89,Saúl ORDÓÑEZ,ESP,"Pista atletismo Fuente de la Niña, Guadalajara (ESP)",23 JUN 2024,1177,800m
63,1:44.90,Ferguson Cheruiyot ROTICH,KEN,"Nyayo National Stadium, Nairobi (KEN)",20 APR 2024,1176,800m
64,1:44.91,Thomas RANDOLPH,GBR,"Mary Peters Track, Belfast (GBR)",11 MAY 2024,1176,800m
65,1:44.98,Mariano GARCÍA,ESP,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",28 AUG 2024,1174,800m
66,1:44.99,Brannon KIDDER,USA,"George Mason Stadium, Fairfax, VA (USA)",12 AUG 2024,1174,800m
67,1:45.00,Álvaro DE ARRIBA,ESP,"Pista atletismo Fuente de la Niña, Guadalajara (ESP)",23 JUN 2024,1173,800m
68,1:45.06,Peter BOL,AUS,"SA Athletic Stadium, Adelaide (AUS)",14 APR 2024,1172,800m
69,1:45.06,Wes FERGUSON,USA,"Icahn Stadium, New York, NY (USA)",09 JUN 2024,1172,800m
70,1:45.07,Marino BLOUDEK,CRO,"Stadio Olimpico, Roma (ITA)",07 JUN 2024,1171,800m
71,1:45.10,Felix MUTHIANI,KEN,"Hakatanomori Athletic Stadium, Fukuoka (JPN)",31 JUL 2024,1170,800m
72,1:45.11,Isaac NADER,POR,"Stade Delort, Marseille (FRA)",22 MAY 2024,1170,800m
73,1:45.11,Simone BARONTINI,ITA,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",20 JUN 2024,1170,800m
74,1:45.12,Reece SHARMAN-NEWELL,GBR,"Paula Radcliffe Stadium, Loughborough (GBR)",22 JUN 2024,1170,800m
75,1:45.12,Tinoda MATSATSA,USA,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1170,800m
76,1:45.13,Bartosz KITLIŃSKI,POL,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",20 JUN 2024,1169,800m
77,1:45.17,Tibo DE SMET,BEL,"Sportcentrum Wembley, Kortrijk (BEL)",13 JUL 2024,1168,800m
78,1:45.22,Edose IBADIN,NGR,"Prince George's Sports and Learning Complex, Landover, MD (USA)",04 JUN 2024,1167,800m
79,1:45.22,Oussama CHERRAD,ALG,"Stade Colette Besson, Dijon (FRA)",05 JUN 2024,1167,800m
80,1:45.22,Filip OSTROWSKI,POL,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",20 JUN 2024,1167,800m
81,1:45.23,Heithem CHENITEF,ALG,"Stade d'Athlétisme Hautepierre, Strasbourg (FRA)",08 JUN 2024,1166,800m
82,1:45.25,Tumo NKAPE,BOT,"University of the Western Cape, Cape Town (RSA)",29 APR 2024,1166,800m
83,1:45.26,Francesco PERNICI,ITA,"Estadio Vallehermoso, Madrid (ESP)",21 JUN 2024,1166,800m
84,1:45.27,Chamar CHAMBERS,PAN,"Pista de Atletismo da Universidade Federal do Mato Grosso, Cuiaba (BRA)",11 MAY 2024,1165,800m
85,1:45.27,Alex BOTTERILL,GBR,"Estadio Vallehermoso, Madrid (ESP)",21 JUN 2024,1165,800m
86,1:45.27,Ebrahim ALZOFAIRI,KUW,"Sportcentrum Wembley, Kortrijk (BEL)",13 JUL 2024,1165,800m
87,1:45.27,Mateusz BORKOWSKI,POL,"Stade de France, Paris (FRA)",08 AUG 2024,1165,800m
88,1:45.28,Rynard SWANEPOEL,RSA,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",24 MAY 2024,1165,800m
89,1:45.29,Navasky ANDERSON,JAM,"Jack Kemp Stadium, Los Angeles, CA (USA)",11 MAY 2024,1165,800m
90,1:45.33,Luke MCCANN,IRL,"Stadio Comunale, Bellinzona (SUI)",09 SEP 2024,1163,800m
91,1:45.34,Mohamed BELBACHIR,ALG,"Stade Raymond Troussier, Decines (FRA)",04 MAY 2024,1163,800m
92,1:45.34,Vincent CRISP,USA,"Franklin Field, Philadelphia, PA (USA)",01 JUN 2024,1163,800m
93,1:45.34,Samuel CHAPPLE,NED,"Pista atletismo Fuente de la Niña, Guadalajara (ESP)",23 JUN 2024,1163,800m
94,1:45.36,Handal ROBAN,VIN,"Franklin Field, Philadelphia, PA (USA)",29 JUN 2024,1162,800m
95,1:45.37,Daniel ROWDEN,GBR,"Le Grand Stade, Marrakech (MAR)",19 MAY 2024,1162,800m
96,1:45.37,Justin DAVIES,GBR,"Woodside Stadium, Watford (GBR)",21 AUG 2024,1162,800m
97,1:45.38,Ramon WIPFLI,SUI,"Bungertstadion, Rehlingen (GER)",19 MAY 2024,1162,800m
98,1:45.40,Nicholas Kiplangat KEBENEI,KEN,"Nyayo National Stadium, Nairobi (KEN)",20 APR 2024,1161,800m
99,1:45.40,Darius KIPYEGO,USA,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1161,800m
100,1:45.43,Fithawi ZAID,ERI,"Atletiekbaan Brakkenstein, Nijmegen (NED)",18 MAY 2024,1160,800m
101,1:45.45,General Berhanu AYANSA,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",14 JUN 2024,1160,800m
102,1:45.46,Timothy CHERUIYOT,KEN,"Centro Gabre Gabric, Brescia (ITA)",08 SEP 2024,1159,800m
103,1:45.48,Camden MARSHALL,USA,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",24 MAY 2024,1159,800m
104,1:45.49,Guy LEARMONTH,GBR,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1159,800m
105,1:45.49,Thomas MARQUES DE ANDRADE,FRA,"Stedelijke Atletiekpiste, Ninove (BEL)",20 JUL 2024,1159,800m
106,1:45.53,Ethan HUSSEY,GBR,"Boudewijnstadion, Bruxelles (BEL)",25 MAY 2024,1157,800m
107,1:45.54,Anicet KOZAR,FRA,"Stade Raymond Petit, Tomblaine (FRA)",25 MAY 2024,1157,800m
108,1:45.55,Ole Jakob SOLBU,NOR,"Mary Peters Track, Belfast (GBR)",11 MAY 2024,1157,800m
109,1:45.57,Abel KIPSANG,KEN,"Nyayo National Stadium, Nairobi (KEN)",20 APR 2024,1156,800m
110,1:45.57,Tommaso MANISCALCO,ITA,"Campo Sportivo G. Draghicchio, Trieste (ITA)",22 JUN 2024,1156,800m
111,1:45.58,Tiarnan CRORKEN,GBR,"Boudewijnstadion, Bruxelles (BEL)",25 MAY 2024,1156,800m
112,1:45.59,Brad MATHAS,NZL,"Stade Colette Besson, Dijon (FRA)",05 JUN 2024,1156,800m
113,1:45.59,Robert DOWNS,USA,"Percy Beard Track, Gainesville, FL (USA)",19 JUL 2024,1156,800m
114,1:45.60,Robert FARKEN,GER,"Heinz-Steyer-Stadion, Dresden (GER)",30 AUG 2024,1155,800m
115,1:45.62,Javier MIRON,ESP,"Pista atletismo Fuente de la Niña, Guadalajara (ESP)",23 JUN 2024,1155,800m
116,1:45.63,Colin SAHLMAN,USA,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",27 APR 2024,1154,800m
117,1:45.63,Cole HOCKER,USA,"Lincoln HS, Portland, OR (USA)",09 JUN 2024,1154,800m
118,1:45.63,Jack HIGGINS,GBR,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",28 AUG 2024,1154,800m
119,1:45.66,Dezhu LIU,CHN,"Egret Stadium, Xiamen (CHN)",20 APR 2024,1153,800m
120,1:45.66,Finley MCLEAR,GBR,"Hayward Field, Eugene, OR (USA)",07 JUN 2024,1153,800m
121,1:45.66,Maciej WYDERKA,POL,"Golęcin Stadion, Poznan (POL)",23 JUN 2024,1153,800m
122,1:45.66,Ivan PELIZZA,SUI,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",28 AUG 2024,1153,800m
123,1:45.67,Filip RAK,POL,"Stade Raymond Petit, Tomblaine (FRA)",25 MAY 2024,1153,800m
124,1:45.69,Oussama EL BOUCHAYBY,MAR,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",24 MAY 2024,1152,800m
125,1:45.69,Ruben VERHEYDEN,BEL,"Boudewijnstadion, Bruxelles (BEL)",25 MAY 2024,1152,800m
126,1:45.69,Cass ELLIOTT,USA,"George Mason Stadium, Fairfax, VA (USA)",12 AUG 2024,1152,800m
127,1:45.70,Tarees RHODEN,JAM,"Hayward Field, Eugene, OR (USA)",07 JUN 2024,1152,800m
128,1:45.70,Corentin MAGNOU,FRA,"Stedelijke Atletiekpiste, Ninove (BEL)",20 JUL 2024,1152,800m
129,1:45.71,Giovanni LAZZARO,ITA,"Stadio Quercia, Rovereto (ITA)",31 AUG 2024,1152,800m
130,1:45.74,Abdellah MOUZLIB,MAR,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",22 MAY 2024,1151,800m
131,1:45.74,Matthew ERICKSON,CAN,"Lincoln HS, Portland, OR (USA)",09 JUN 2024,1151,800m
132,1:45.74,Renier DE VILLIERS,RSA,"Centro Sportivo Saletti, Nembro (ITA)",19 JUN 2024,1151,800m
133,1:45.75,Cillian KIRWAN,IRL,"Mary Peters Track, Belfast (GBR)",11 MAY 2024,1151,800m
134,1:45.76,Tyrese REID,JAM,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",30 MAR 2024,1150,800m
135,1:45.77,Rick VAN RIEL,NED,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",28 AUG 2024,1150,800m
136,1:45.78,Kabelo Simon MOHLOSI,RSA,"University of the Western Cape, Cape Town (RSA)",29 APR 2024,1150,800m
137,1:45.81,Malik SKUPIN-ALFA,GER,"Heinz-Steyer-Stadion, Dresden (GER)",30 AUG 2024,1149,800m
138,1:45.82,Leonardo SANTOS,BRA,"Pista de Atletismo da Universidade Federal do Mato Grosso, Cuiaba (BRA)",15 MAY 2024,1149,800m
139,1:45.83,Sean DOLAN,USA,"Villanova University, Villanova, PA (USA)",11 MAY 2024,1148,800m
140,1:45.85,Tyrice TAYLOR,JAM,"Prince George's Sports and Learning Complex, Landover, MD (USA)",04 JUN 2024,1148,800m
141,1:45.86,Rivaldo MARSHALL,JAM,"Univ. of Arizona Roy P. Drachman Stadium, Tucson, AZ (USA)",06 APR 2024,1147,800m
142,1:45.86,Abedin MUJEZINOVIĆ,BIH,"Campo di Atletica, Asti (ITA)",23 MAY 2024,1147,800m
143,1:45.87,Jordan TERRASSE,FRA,"Stade Pierre Duboeuf, Bron (FRA)",04 JUL 2024,1147,800m
144,1:45.87,Joseph DENG,AUS,"Stade de France, Paris (FRA)",07 AUG 2024,1147,800m
145,1:45.89,Eric HOLT,USA,"Dean A. Hayes Track and Soccer Stadium, Murfreesboro, TN (USA)",01 JUN 2024,1146,800m
146,1:45.89,Patryk SIERADZKI,POL,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",20 JUN 2024,1146,800m
147,1:45.91,Amel TUKA,BIH,"Estadio Vallehermoso, Madrid (ESP)",21 JUN 2024,1146,800m
148,1:45.93,Zakary MAMA-YARI,CAN,"Alumni Stadium, Guelph (CAN)",04 JUN 2024,1145,800m
149,1:45.93,Sam ELLIS,USA,"Icahn Stadium, New York, NY (USA)",09 JUN 2024,1145,800m
150,1:45.93,Louey OUERRAT,FRA,"Stade Josette et Roger Mikulak, Angers (FRA)",30 JUN 2024,1145,800m
151,1:45.93,Youssef BENZAMIA,FRA,"Centro Sportivo G. Olmo-P. Ferro, Celle Ligure (ITA)",17 JUL 2024,1145,800m
152,1:45.94,Josh KERR,GBR,"Hayward Field, Eugene, OR (USA)",20 APR 2024,1145,800m
153,1:45.94,CJ JONES,USA,"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)",12 JUL 2024,1145,800m
154,1:45.97,Collins KIPRUTO,KEN,"Nyayo National Stadium, Nairobi (KEN)",15 JUN 2024,1144,800m
155,1:45.97,Mehdi YANOURI,USA,"Stedelijke Atletiekpiste, Ninove (BEL)",20 JUL 2024,1144,800m
156,1:45.97,Samuel PIHLSTRÖM,SWE,"AtletiekArena Gaston Roelants Kessel-Lo / Hal 5, Leuven (BEL)",27 JUL 2024,1144,800m
157,1:46.00,Ibrahim Abass M CHOUT,QAT,"Stade C. Vandeveegaete, Tourcoing (FRA)",26 JUN 2024,1143,800m
158,1:46.00,Luciano FIORE,USA,"George Mason Stadium, Fairfax, VA (USA)",12 AUG 2024,1143,800m
159,1:46.01,Kelvin Kimtai LOTI,KEN,"Lantos Mihály Sportközpont, Budapest (HUN)",26 MAY 2024,1143,800m
160,1:46.01,Tom DRADRIGA,UGA,"Stade Omnisport de JAPOMA, Douala (CMR)",23 JUN 2024,1143,800m
161,1:46.04,Mohamed ABOUETTAHERY,MAR,"Stedelijke Atletiekpiste, Ninove (BEL)",20 JUL 2024,1142,800m
162,1:46.04,Niels LAROS,NED,"Stadio Comunale, Bellinzona (SUI)",09 SEP 2024,1142,800m
163,1:46.06,Anass ESSAYI,MAR,"Percy Beard Track, Gainesville, FL (USA)",11 MAY 2024,1141,800m
164,1:46.09,Matt WISNER,USA,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1140,800m
165,1:46.09,Jan TESAŘ,CZE,"Atletický stadion Turnov, Turnov (CZE)",03 SEP 2024,1140,800m
166,1:46.10,Efrem MEKONNEN,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",14 JUN 2024,1140,800m
167,1:46.11,Joseph WIGFIELD,GBR,"Bracknell Leisure Centre, Bracknell (GBR)",19 JUN 2024,1140,800m
168,1:46.11,George MILLS,GBR,"LAZ Wien, Wien (AUT)",22 JUN 2024,1140,800m
169,1:46.12,Parvej KHAN,IND,"Percy Beard Track, Gainesville, FL (USA)",30 MAR 2024,1140,800m
170,1:46.12,Hazem MIAWAD,EGY,"Dean A. Hayes Track and Soccer Stadium, Murfreesboro, TN (USA)",01 JUN 2024,1140,800m
171,1:46.13,Hugo HOUYEZ,FRA,"Stade Raymond Troussier, Decines (FRA)",04 MAY 2024,1139,800m
172,1:46.14,Samuel TANNER,NZL,"Nga Puna Wai Sports Hub, Christchurch (NZL)",24 FEB 2024,1139,800m
173,1:46.15,Marius PROBST,GER,"Carl-Kaufmann-Stadion, Karlsruhe (GER)",11 MAY 2024,1139,800m
174,1:46.16,Samuel PRAKEL,USA,"Stedelijke Atletiekpiste, Ninove (BEL)",20 JUL 2024,1138,800m
175,1:46.17,Darius SMALLWOOD,USA,"Lincoln HS, Portland, OR (USA)",09 JUN 2024,1138,800m
176,1:46.18,Kyle LANGFORD,GBR,"Drake Stadium, Los Angeles, CA (USA)",18 MAY 2024,1138,800m
177,1:46.20,Marvin HEINRICH,GER,"TSV Stadion, Pfungstadt (GER)",19 JUN 2024,1137,800m
178,1:46.21,Eduardo RIBEIRO,BRA,"Hilmer Lodge Stadium, Walnut, CA (USA)",20 APR 2024,1137,800m
179,1:46.21,Benjamin ALLEN,USA,"Dean A. Hayes Track and Soccer Stadium, Murfreesboro, TN (USA)",01 JUN 2024,1137,800m
180,1:46.22,James SEELIGER,RSA,"Bestmed Tuks Stadium, Pretoria (RSA)",18 MAR 2024,1137,800m
181,1:46.22,Yukichi ISHII,JPN,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",24 MAY 2024,1137,800m
182,1:46.22,Mersimoi KASAHUN,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",14 JUN 2024,1137,800m
183,1:46.23,Quamel PRINCE,GUY,"Edwin Moses Track, Atlanta, GA (USA)",31 MAY 2024,1136,800m
184,1:46.23,Nathan GREEN,USA,"Morton Stadium, Santry, Dublin (IRL)",12 JUL 2024,1136,800m
185,1:46.23,Konstantin KHOLMOGOROV,RUS,"Salyut Geraklion Stadion, Moskva (RUS)",27 JUL 2024,1136,800m
186,1:46.25,Jack LUNN,AUS,"AIS Athletics Track, Canberra (AUS)",26 JAN 2024,1136,800m
187,1:46.26,Jens MERGENTHALER,GER,"TSV Stadion, Pfungstadt (GER)",14 AUG 2024,1135,800m
188,1:46.28,Luis OBERBECK,GER,"TSV Stadion, Pfungstadt (GER)",25 MAY 2024,1135,800m
189,1:46.31,José Ignacio PÉREZ,ESP,"Pistes d'atletisme Gaetà Huguet, Castellón (ESP)",22 MAY 2024,1134,800m
190,1:46.32,Sebastian FERNANDEZ,USA,"Clyde Hart Track & Field Stadium, Waco, TX (USA)",11 MAY 2024,1134,800m
191,1:46.32,Kimar FARQUHARSON,JAM,"Hayward Field, Eugene, OR (USA)",05 JUN 2024,1134,800m
192,1:46.34,Kieran LUMB,CAN,"Dempsey Indoor, Seattle, WA (USA) (i)",23 FEB 2024,1133,800m
193,1:46.35,Nick PLANT,USA,"Shellenberger Field & Dr. Jack M. Toms Track, Lynchburg, VA (USA)",03 MAY 2024,1133,800m
194,1:46.36,Ronaldo OLIVO,ESP,"Estadio Vallehermoso, Madrid (ESP)",21 JUN 2024,1132,800m
195,1:46.37,Rafael MUÑOZ,CHI,"Pista de Atletismo da Universidade Federal do Mato Grosso, Cuiaba (BRA)",11 MAY 2024,1132,800m
196,1:46.37,Hatim AIT OULGHAZI,QAT,"TSV Stadion, Pfungstadt (GER)",14 AUG 2024,1132,800m
197,1:46.38,Jochem VERMEULEN,BEL,"Stadion De Veen, Heusden-Zolder (BEL)",15 JUN 2024,1132,800m
198,1:46.38,Sota OKAMURA,JPN,"Aoba Park Athletic Field, Chitose (JPN)",20 JUL 2024,1132,800m
199,1:46.39,Marco VILCA,PER,"Pista de Atletismo da Universidade Federal do Mato Grosso, Cuiaba (BRA)",11 MAY 2024,1131,800m
200,1:46.40,Ali Idow HASSAN,SOM,"Stade Omnisport de JAPOMA, Douala (CMR)",22 JUN 2024,1131,800m
201,1:46.41,Zohair HADAR,ITA,"Stadio Narciso Soldan, Conegliano (ITA)",11 MAY 2024,1131,800m
202,1:46.41,Ludovic LE MEUR,FRA,"Stade Delort, Marseille (FRA)",22 MAY 2024,1131,800m
203,1:46.41,Abdullahi HASSAN,CAN,"Foote Field, Edmonton (CAN)",13 JUN 2024,1131,800m
204,1:46.43,Cian MCPHILLIPS,IRL,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1187,800m
205,1:46.51,William CUTHBERTSON,USA,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",24 MAY 2024,1128,800m
206,1:46.53,Ömer Faruk BOZDAĞ,TUR,"Campo di Atletica, Asti (ITA)",23 MAY 2024,1127,800m
207,1:46.53,Luke GRINER,USA,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",24 MAY 2024,1127,800m
208,1:46.55,Yassine HETHAT,ALG,"McArthur Stadium, Potchefstroom (RSA)",14 MAR 2024,1127,800m
209,1:46.56,Lenny KOTIKASH,KEN,"Stade du Parc de la Dodaine, Nivelles (BEL)",16 JUN 2024,1126,800m
210,1:46.57,Daniel KOTYZA,CZE,"Atletická hala, Ostrava (CZE) (i)",18 FEB 2024,1183,800m
211,1:46.57,Robin OESTER,SUI,"TSV Stadion, Pfungstadt (GER)",14 AUG 2024,1126,800m
212,1:46.59,Ermias GIRMA,ETH,"Suzhou Olympic Sports Centre, Suzhou (CHN)",27 APR 2024,1125,800m
213,1:46.59,Louis VERCUEIL,FRA,"Stade Jacques Forestier, Aix-les-Bains (FRA)",12 MAY 2024,1125,800m
214,1:46.59,Henry FISHER,GBR,"Campo Scuola Moreno Martini, Lucca (ITA)",19 MAY 2024,1125,800m
215,1:46.59,Gabriele ANGIONO,ITA,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",24 MAY 2024,1125,800m
216,1:46.63,Tim MCINERNEY,USA,"Un. of Kentucky Outdoor Track Facility, Lexington, KY (USA)",24 MAY 2024,1124,800m
217,1:46.63,Thomas KEEN,GBR,"Woodside Stadium, Watford (GBR)",21 AUG 2024,1124,800m
218,1:46.67,Dugion BLACKMAN,JAM,"Elon University’s Irwin Belk Track, Elon, NC (USA)",11 MAY 2024,1123,800m
219,1:46.69,Kwazi NOGCANTSI,RSA,"Pilditch Stadium, Pretoria (RSA)",08 MAR 2024,1122,800m
220,1:46.70,Sigurd TVEIT,NOR,"Bislett Stadion, Oslo (NOR)",30 MAY 2024,1122,800m
221,1:46.70,Jan VUKOVIČ,SLO,"Polisportivo Comunale, San Vito al Tagliamento (ITA)",02 JUN 2024,1122,800m
222,1:46.71,Ryan SÁNCHEZ,PUR,"Estadio Jose A. Figueroa Freyre, Mayagüez (PUR)",15 JUN 2024,1122,800m
