provider,external_account_id,athlete_id,provider_display_name,match_method,match_status,source_file,source_row_number
strava,18748153,eebf5c95-d93b-44dc-9238-60c9bcb2617c,Josh Kerr,metadata_external_id,resolved,cleaned_athlete_metadata.csv,220
strava,18766100,af75cc0c-5d62-4e90-8a6e-a2978dc30ca3,Callum Davies,metadata_external_id,resolved,cleaned_athlete_metadata.csv,61
strava,18803555,80616eb4-daab-4436-9eb5-c74ccfb846c7,Isaac Updike,metadata_external_id,resolved,cleaned_athlete_metadata.csv,173
strava,18819249,57af5cd1-73fc-42da-98dd-fa7a97199275,Giovanni Filippi,metadata_external_id,resolved,cleaned_athlete_metadata.csv,148
strava,18931477,d51aaef4-42e2-4859-9fb3-9a23ada60227,Scott Beattie,metadata_external_id,resolved,cleaned_athlete_metadata.csv,391
strava,18934439,3c3fac4f-5fd4-40d4-aded-088c36888c76,Nils Voigt,metadata_external_id,resolved,cleaned_athlete_metadata.csv,321
strava,18958757,f978efbe-4bcc-4823-bd4c-5c720463c2f6,Kasey Knevelbaard,metadata_external_id,resolved,cleaned_athlete_metadata.csv,229
strava,19033722,8b2396d9-ecca-4020-b8af-a17914594747,Joseph Tuffin,metadata_external_id,resolved,cleaned_athlete_metadata.csv,218
strava,19061864,f13876a0-6ded-4713-b6eb-c02e458eaf1c,Rob McManus,metadata_external_id,resolved,cleaned_athlete_metadata.csv,352
strava,19479777,0524f0d6-00dd-401c-a629-4300e626cf14,Tiarnan Crorken,metadata_external_id,resolved,cleaned_athlete_metadata.csv,424
strava,19488174,75f8ba75-df7b-412c-9df3-f4f9b026955e,Jackson Sharp,metadata_external_id,resolved,cleaned_athlete_metadata.csv,183
strava,19613002,1c68457b-1d75-4c8c-9d67-bde9a83393f8,Danielle Jones,metadata_external_id,resolved,cleaned_athlete_metadata.csv,101
strava,19686000,d77470d2-f4a6-4e2d-8b2a-79bf80f482e1,Rory Leonard,metadata_external_id,resolved,cleaned_athlete_metadata.csv,358
strava,19780474,72fde061-38ee-42ab-b536-938ad886d0a9,Azeddine Habz,metadata_external_id,resolved,cleaned_athlete_metadata.csv,37
strava,19813496,63374ce6-d85e-473d-924e-e76d65f9d8b8,Yago Rojo,metadata_external_id,resolved,cleaned_athlete_metadata.csv,447
strava,19848564,f9a0307c-ec97-4314-ae31-e9adc695478d,Rachel Smith,metadata_external_id,resolved,cleaned_athlete_metadata.csv,343
strava,199092,48584483-c36d-44c4-88f0-93b5eb1e6778,Lauren Hall,metadata_external_id,resolved,cleaned_athlete_metadata.csv,255
strava,20077578,6e4b23ea-f43a-466b-8414-384420cfcaf2,Morgan Mitchell,metadata_external_id,resolved,cleaned_athlete_metadata.csv,309
strava,20228908,2c3d0697-31c6-41dd-8738-49d68374c30e,LUIS Miguel Masabanda,metadata_external_id,resolved,cleaned_athlete_metadata.csv,273
strava,20297898,88a51d58-3a5d-4ddf-a4fe-5137c03a8e60,Jean-Simon Desgagnés,metadata_external_id,resolved,cleaned_athlete_metadata.csv,196
strava,204658,52715580-75ed-4510-a00f-6abfeaccc0c6,Jonathan Davis,metadata_external_id,resolved,cleaned_athlete_metadata.csv,211
strava,20688835,3662dcf7-7114-4cd4-8666-f452f1c361cf,Kevin Viezee,metadata_external_id,resolved,cleaned_athlete_metadata.csv,242
strava,21000995,aba71c33-c38e-482e-a178-5c5ff3df5fc9,Florian Bremm,metadata_external_id,resolved,cleaned_athlete_metadata.csv,139
strava,21148281,6f1c5319-84b5-4d3d-9343-39ca492350c7,Johannes Motschmann,metadata_external_id,resolved,cleaned_athlete_metadata.csv,207
strava,21148731,f6db01fd-7aa6-4b31-8233-7df24b8cb071,Nick Foster,metadata_external_id,resolved,cleaned_athlete_metadata.csv,317
strava,21295355,375fe8f5-342d-4542-ae20-ccf74635820f,Sigurd Tveit,metadata_external_id,resolved,cleaned_athlete_metadata.csv,402
strava,21479529,5a6824f1-23bc-418f-8008-3718c45ae44b,Jane Bareikis,metadata_external_id,resolved,cleaned_athlete_metadata.csv,193
strava,21547435,8aaaefbf-94d1-4fcd-b49a-48b760bb4791,Baptiste Guyon,metadata_external_id,resolved,cleaned_athlete_metadata.csv,40
strava,21880851,e9e89ff7-7826-4ec1-9d0c-2e81ff7b471c,Eilish Mccolgan,metadata_external_id,resolved,cleaned_athlete_metadata.csv,114
strava,21935508,c140f11e-9146-4c48-b984-40bf402c2b2c,Etienne Daguinos,metadata_external_id,resolved,cleaned_athlete_metadata.csv,130
strava,22274135,26a4849b-53f3-43da-a371-7ef5697c8d9a,Ben Preisner,metadata_external_id,resolved,cleaned_athlete_metadata.csv,45
strava,22399704,58e64efe-94c3-4e44-960d-48d924f775be,Charlie Sweeney,metadata_external_id,resolved,cleaned_athlete_metadata.csv,78
strava,22433281,dbff7740-4e64-4d43-b646-a8e8c95390d3,Reed Fischer,metadata_external_id,resolved,cleaned_athlete_metadata.csv,347
strava,22482034,dd9c2e45-f95a-4a35-9d2d-39ef2963f21c,Kevin Robertson,exact_normalized_name_to_metadata,resolved,indiv_activities_full.csv,45389
strava,23078070,5feb3259-6675-42a4-a31b-0e4d4fac02fc,Savannah Berry,metadata_external_id,resolved,cleaned_athlete_metadata.csv,389
strava,23093206,12ca86b4-79c2-4252-831f-bfcd73f3ff0e,marc tortell,metadata_external_id,resolved,cleaned_athlete_metadata.csv,279
strava,23188755,81d0397a-9eda-400f-bce2-5a6f1c1f00d8,Marcel Tobler,metadata_external_id,resolved,cleaned_athlete_metadata.csv,280
strava,23205296,9fe7479f-de4c-41dd-9c54-15f34c4f5dc0,Matt Wisner,metadata_external_id,resolved,cleaned_athlete_metadata.csv,291
strava,23254495,8397f71c-9e91-476a-95e0-67c960aac632,Silke Jonkman,metadata_external_id,resolved,cleaned_athlete_metadata.csv,404
strava,23295862,79f6c65c-677c-477f-8c43-5fe8b4a83688,Clayton Young,metadata_external_id,resolved,cleaned_athlete_metadata.csv,86
strava,23384343,ab2072bc-5177-4234-abd2-d8a330754b47,Rémi Schyns,metadata_external_id,resolved,cleaned_athlete_metadata.csv,370
strava,23435662,edac5d9f-7873-4393-97b6-c8550f9f0df4,Angelina Ellis,metadata_external_id,resolved,cleaned_athlete_metadata.csv,27
strava,23571791,898e0015-8fe5-4135-b67d-0d4e998f3a0e,Melissa Tanaka,metadata_external_id,resolved,cleaned_athlete_metadata.csv,299
strava,23682243,091b7853-d8d8-4fe5-851a-48af771866c9,Corentin Le Clezio,metadata_external_id,resolved,cleaned_athlete_metadata.csv,92
strava,23718316,429ea9f2-af49-4748-ba86-81a0671ef85b,Jake Ritter,metadata_external_id,resolved,cleaned_athlete_metadata.csv,185
strava,23741845,cf04a5af-81e1-480c-87a0-d9dc67c46912,Madeleine kelly,metadata_external_id,resolved,cleaned_athlete_metadata.csv,275
strava,23763182,bbf82e5c-3d87-4863-9eff-b9b79e781989,James Corrigan,metadata_external_id,resolved,cleaned_athlete_metadata.csv,186
strava,23836673,bb4ccbcf-b825-4131-bbd8-2ac150f5c886,Haftom Welday,metadata_external_id,resolved,cleaned_athlete_metadata.csv,152
