Serial,Athlete ID,Athlete Name,Activity ID,Activity Name,Description,Start Date,Elapsed Time,Type,Location,Pace (min/mi),Pace (min/km),Time (min),Distance (km),Activity Time (s),Time
152542,91049781,Hanna Hermansson,13110410418,Afternoon Run,nan,2024-12-13 22:54:56+00:00,2892,Run,"Los Angeles, USA",0.0,4.75879917184265,45.97,9.66,2758.2,45 m 58 s
153113,73659831,Evan Jenkins,13110539996,Lunch Run,nan,2024-12-13 19:15:25+00:00,680,Run,"Seattle, USA",0.0,4.586854460093897,9.77,2.13,586.1999999999999,9 m 46 s
153112,73659831,Evan Jenkins,13110540011,Afternoon Run,nan,2024-12-14 00:19:21+00:00,2445,Run,"Seattle, USA",0.0,4.6464019851116625,37.45,8.06,2247.0,37 m 27 s
153114,73659831,Evan Jenkins,13110540843,Morning Run,nan,2024-12-13 17:59:04+00:00,2407,Run,"Seattle, USA",0.0,4.354954954954955,24.17,5.55,1450.2,24 m 10 s
153248,77830180,Keisuke Yokota,13110610752,Morning Run,nan,2024-12-14 01:07:13+00:00,2955,Run,"Asaka, Japan",0.0,3.28552368245497,49.25,14.99,2955.0,49 m 15 s
153247,77830180,Keisuke Yokota,13110714404,Lunch Run,nan,2024-12-14 02:14:35+00:00,1226,Run,"Asaka, Japan",0.0,3.534602076124567,20.43,5.78,1225.8,20 m 26 s
153615,82013388,Logan Measner,13110742825,Evening Run,nan,2024-12-14 02:10:05+00:00,2235,Run,nan,0.0,3.848140495867769,37.25,9.68,2235.0,37 m 15 s
153614,82013388,Logan Measner,13110803693,Evening Elliptical,nan,2024-12-14 02:53:34+00:00,1431,Elliptical,nan,0.0,0.0,0.0,23.0,0.0,142 bpm
153246,77830180,Keisuke Yokota,13110832196,Lunch Run,nan,2024-12-14 02:48:59+00:00,26,Run,"Asaka, Japan",0.0,3.5833333333333335,0.43,0.12,25.8,26 s
153245,77830180,Keisuke Yokota,13110832815,Lunch Run,nan,2024-12-14 02:51:23+00:00,1388,Run,"Asaka, Japan",0.0,4.001730103806228,23.13,5.78,1387.8,23 m 8 s
153244,77830180,Keisuke Yokota,13110833036,Lunch Run,nan,2024-12-14 03:17:56+00:00,240,Run,"Asaka, Japan",0.0,4.0,4.0,1.0,240.0,4 m 0 s
153243,77830180,Keisuke Yokota,13110898730,Lunch Run,nan,2024-12-14 03:38:29+00:00,1647,Run,"Asaka, Japan",0.0,6.271461716937356,27.03,4.31,1621.8000000000002,27 m 2 s
151279,83372861,Kristian Uldbjerg Hansen,13111330208,Morning Run,nan,2024-12-14 07:22:36+00:00,645,Run,"Aarhus Municipality, Denmark",0.0,4.864253393665159,10.75,2.21,645.0,10 m 45 s
151492,60508941,Boniface Kibiwott,13111420746,Morning Run,nan,2024-12-14 06:35:24+00:00,1795,Run,"Ville-la-Grand, France",0.0,4.5672782874617734,29.87,6.54,1792.2,29 m 52 s
151578,60508941,Boniface Kibiwott,13111420746,Morning Run,nan,2024-12-14 06:35:24+00:00,1795,Run,"Ville-la-Grand, France",0.0,4.5672782874617734,29.87,6.54,1792.2,29 m 52 s
151664,60508941,Boniface Kibiwott,13111420746,Morning Run,nan,2024-12-14 06:35:24+00:00,1795,Run,"Ville-la-Grand, France",0.0,4.5672782874617734,29.87,6.54,1792.2,29 m 52 s
153011,69143721,Jonathan Grahn,13112544261,10x1km,nan,2024-12-14 09:04:24+00:00,7001,Run,"Göteborgs Stad, Sweden",0.0,4.393505253104107,92.0,20.94,5520.0,1 h 32 m
151367,64360338,Hamza Sahli,13112788465,Lunch Run,nan,2024-12-14 10:39:39+00:00,2550,Run,"Louviers, France",0.0,6.877022653721683,42.5,6.18,2550.0,42 m 30 s
152291,60155357,Youssef Benzamia,13112970226,Lunch Run,nan,2024-12-14 08:44:16+00:00,2767,Run,"Elgeyo-Marakwet County, Kenya",0.0,5.08,45.72,9.0,2743.2,45 m 43 s
152425,60155357,Youssef Benzamia,13112970226,Lunch Run,nan,2024-12-14 08:44:16+00:00,2767,Run,"Elgeyo-Marakwet County, Kenya",0.0,5.08,45.72,9.0,2743.2,45 m 43 s
153934,99038751,Salim Keddar,13113036873,Lunch Run,nan,2024-12-03 10:59:36+00:00,1146,Run,nan,0.0,4.526066350710901,19.1,4.22,1146.0,19 m 6 s
153933,99038751,Salim Keddar,13113039607,Lunch Run,nan,2024-12-04 10:23:16+00:00,2353,Run,"Louveciennes, France",0.0,4.27,38.43,9.0,2305.8,38 m 26 s
153932,99038751,Salim Keddar,13113040410,Evening Run,nan,2024-12-05 17:26:25+00:00,1222,Run,"Montesson, France",0.0,4.088300220750551,18.52,4.53,1111.2,18 m 31 s
153931,99038751,Salim Keddar,13113042728,Lunch Run,nan,2024-12-06 10:29:57+00:00,2575,Run,"Louveciennes, France",0.0,4.463541666666667,42.85,9.6,2571.0,42 m 51 s
153941,99038751,Salim Keddar,13113044172,Lunch Run,nan,2024-12-09 10:32:49+00:00,2018,Run,"Marly-le-Roi, France",0.0,3.3270000000000004,33.27,10.0,1996.2000000000005,33 m 16 s
153940,99038751,Salim Keddar,13113045235,Lunch Run,nan,2024-12-10 10:36:20+00:00,1298,Run,"Montesson, France",0.0,4.331858407079646,19.58,4.52,1174.8,19 m 35 s
153938,99038751,Salim Keddar,13113049027,Afternoon Run,nan,2024-12-12 14:16:56+00:00,2503,Run,"Marly-le-Roi, France",0.0,3.792727272727273,41.72,11.0,2503.2,41 m 43 s
153937,99038751,Salim Keddar,13113050284,Lunch Run,nan,2024-12-14 10:54:14+00:00,1803,Run,"Marly-le-Roi, France",0.0,3.6225,28.98,8.0,1738.8,28 m 59 s
153939,99038751,Salim Keddar,13113050547,Lunch Run,nan,2024-12-11 11:04:08+00:00,2532,Run,"Montesson, France",0.0,4.154999999999999,41.55,10.0,2493.0,41 m 33 s
154008,89025421,Ivan Siuris,13113169268,Afternoon Run,nan,2024-12-14 11:17:19+00:00,3908,Run,"Chișinau, Moldova",0.0,4.56490727532097,64.0,14.02,3840.0,1 h 4 m
151278,83372861,Kristian Uldbjerg Hansen,13113456687,Lunch Run,nan,2024-12-14 11:10:30+00:00,2366,Run,"Skive Municipality, Denmark",0.0,4.505747126436781,15.68,3.48,940.8,15 m 41 s
151277,83372861,Kristian Uldbjerg Hansen,13113458186,Afternoon Run,Post race ♨️,2024-12-14 12:21:37+00:00,2246,Run,"Skive Municipality, Denmark",0.0,5.191717791411043,33.85,6.52,2031.0,33 m 51 s
151276,83372861,Kristian Uldbjerg Hansen,13113665145,3000m,"7.57 P1. Fin tester, skud ud til Jeppe Risvig  ₉⁹₉ og NXT level for at lave det hårde arbejde. God blok done, klar til næste fase. 2 uger indtil højden igen🫡",2024-12-14 13:24:47+00:00,477,Run,nan,0.0,2.65,7.95,3.0,477.0,7 m 57 s
152599,81785282,Nico Boketta,13114042243,Lunch Run,nan,2024-12-14 09:00:03+00:00,1866,Run,"Tlokwe Local Municipality, RSA",0.0,3.80625,30.45,8.0,1827.0,30 m 27 s
152635,81785282,Nico Boketta,13114042243,Lunch Run,nan,2024-12-14 09:00:03+00:00,1866,Run,"Tlokwe Local Municipality, RSA",0.0,3.80625,30.45,8.0,1827.0,30 m 27 s
151752,79030752,Jack Salisbury,13114624730,Evening Workout,nan,2024-12-14 01:50:30+00:00,3525,Workout,nan,0.0,0.0,0.0,58.0,0.0,468 Cal
153712,78680893,Gracelyn Larkin,13114903749,Morning Run,nan,2024-12-14 15:52:47+00:00,1357,Run,"Seguin Township, Canada",0.0,4.613168724279835,22.42,4.86,1345.2,22 m 25 s
151751,79030752,Jack Salisbury,13115237887,Morning Run,nan,2024-12-14 16:18:19+00:00,2921,Run,"Flagstaff, USA",0.0,4.46535677352637,43.18,9.67,2590.8,43 m 11 s
150839,63449551,Olivia Markezich,13115290725,Morning Run,nan,2024-12-14 16:13:20+00:00,3742,Run,"Boulder, USA",0.0,4.332602339181287,59.27,13.68,3556.2000000000003,59 m 16 s
150908,63449551,Olivia Markezich,13115290725,Morning Run,nan,2024-12-14 16:13:20+00:00,3742,Run,"Boulder, USA",0.0,4.332602339181287,59.27,13.68,3556.2000000000003,59 m 16 s
150977,63449551,Olivia Markezich,13115290725,Morning Run,nan,2024-12-14 16:13:20+00:00,3742,Run,"Boulder, USA",0.0,4.332602339181287,59.27,13.68,3556.2000000000003,59 m 16 s
151019,99220051,Athanas Kioko,13115547438,Chasing greatness,Don't be fooled guys. A marathon is a super long distance,2024-12-14 15:18:17+00:00,9410,Run,"B. Everett Jordan Project, USA",0.0,3.3782187573824713,143.0,42.33,8580.0,2 h 23 m
151066,99220051,Athanas Kioko,13115547438,Chasing greatness,Don't be fooled guys. A marathon is a super long distance,2024-12-14 15:18:17+00:00,9410,Run,"B. Everett Jordan Project, USA",0.0,3.3782187573824713,143.0,42.33,8580.0,2 h 23 m
153710,78680893,Gracelyn Larkin,13115627559,Lunch Run,nan,2024-12-14 17:48:41+00:00,1411,Run,"Seguin Township, Canada",0.0,4.824380165289257,23.35,4.84,1401.0,23 m 21 s
153711,78680893,Gracelyn Larkin,13115674411,Lunch Run,tread,2024-12-14 16:39:00+00:00,2705,Run,nan,0.0,4.24482109227872,45.08,10.62,2704.7999999999997,45 m 5 s
151750,79030752,Jack Salisbury,13115900642,45 min of 90/30,5 up/10 down on the open stride elliptical,2024-12-14 18:05:48+00:00,3603,Workout,nan,0.0,0.0,0.0,1.0,0.0,870 Cal
152541,91049781,Hanna Hermansson,13115987144,Morning Run,nan,2024-12-14 17:34:25+00:00,3598,Run,"Palos Verdes Estates, USA",0.0,4.852713178294573,31.3,6.45,1878.0,31 m 18 s
152861,87287379,Carson Williams,13116509254,Afternoon Ride,"Easy loop, hard loop, easy loop I need a faster bike",2024-12-14 20:46:13+00:00,2166,Ride,"Greenville County, USA",0.0,2.089274643521389,33.7,16.13,2022.0,33 m 42 s
152919,87287379,Carson Williams,13116509254,Afternoon Ride,"Easy loop, hard loop, easy loop I need a faster bike",2024-12-14 20:46:13+00:00,2166,Ride,"Greenville County, USA",0.0,2.089274643521389,33.7,16.13,2022.0,33 m 42 s
151490,60508941,Boniface Kibiwott,13116874435,Afternoon Run,nan,2024-12-14 16:20:02+00:00,1371,Run,"Sion, Switzerland",0.0,3.263865546218488,19.42,5.95,1165.2,19 m 25 s
151576,60508941,Boniface Kibiwott,13116874435,Afternoon Run,nan,2024-12-14 16:20:02+00:00,1371,Run,"Sion, Switzerland",0.0,3.263865546218488,19.42,5.95,1165.2,19 m 25 s
151662,60508941,Boniface Kibiwott,13116874435,Afternoon Run,nan,2024-12-14 16:20:02+00:00,1371,Run,"Sion, Switzerland",0.0,3.263865546218488,19.42,5.95,1165.2,19 m 25 s
153813,66783639,Duncan Perrillat,13116931966,Course à pied le midi,nan,2024-12-13 11:04:15+00:00,4336,Run,"Grenoble, France",0.0,4.705073086844368,54.72,11.63,3283.2,54 m 43 s
153811,66783639,Duncan Perrillat,13116932308,Course à pied le matin,nan,2024-12-14 09:38:56+00:00,1859,Run,"Grenoble, France",0.0,4.38122332859175,30.8,7.03,1848.0,30 m 48 s
153807,66783639,Duncan Perrillat,13116932821,Course à pied en soirée,nan,2024-12-14 18:15:18+00:00,736,Run,"Voiron, France",0.0,4.969432314410481,11.38,2.29,682.8000000000001,11 m 23 s
153808,66783639,Duncan Perrillat,13116932829,Course à pied en soirée,nan,2024-12-14 17:50:00+00:00,505,Run,"Voiron, France",0.0,5.8604651162790695,2.52,0.43,151.2,2 m 31 s
153815,66783639,Duncan Perrillat,13116932865,Course à pied le midi,nan,2024-12-11 10:57:03+00:00,5031,Run,"Grenoble, France",0.0,4.0733197556008145,80.0,19.64,4800.0,1 h 20 m
153812,66783639,Duncan Perrillat,13116932886,Course à pied dans l'après-midi,nan,2024-12-13 16:15:05+00:00,2976,Run,"Grenoble, France",0.0,6.836974789915966,40.68,5.95,2440.8,40 m 41 s
153809,66783639,Duncan Perrillat,13116932894,Course à pied en soirée,nan,2024-12-14 17:01:23+00:00,1437,Run,"Voiron, France",0.0,2.99375,23.95,8.0,1437.0,23 m 57 s
153810,66783639,Duncan Perrillat,13116932925,Course à pied dans l'après-midi,nan,2024-12-14 15:58:32+00:00,3153,Run,"Voiron, France",0.0,4.75,28.5,6.0,1710.0,28 m 30 s
153814,66783639,Duncan Perrillat,13116933043,Course à pied en soirée,nan,2024-12-12 18:00:42+00:00,3645,Run,"Grenoble, France",0.0,4.351204351204352,56.0,12.87,3360.0,56 m 0 s
150838,63449551,Olivia Markezich,13117055122,Afternoon Run,nan,2024-12-14 23:06:29+00:00,1561,Run,"Boulder, USA",0.0,4.44973544973545,25.23,5.67,1513.8,25 m 14 s
150907,63449551,Olivia Markezich,13117055122,Afternoon Run,nan,2024-12-14 23:06:29+00:00,1561,Run,"Boulder, USA",0.0,4.44973544973545,25.23,5.67,1513.8,25 m 14 s
150976,63449551,Olivia Markezich,13117055122,Afternoon Run,nan,2024-12-14 23:06:29+00:00,1561,Run,"Boulder, USA",0.0,4.44973544973545,25.23,5.67,1513.8,25 m 14 s
151491,60508941,Boniface Kibiwott,13117133806,Afternoon Run,nan,2024-12-14 15:25:28+00:00,1276,Run,"Sion, Switzerland",0.0,4.865196078431373,19.85,4.08,1191.0,19 m 51 s
