Unnamed: 0,Mark,Competitor,Nat,Location,Date,Results Score,Discipline,Gender,Performance_ID,Date_Created
396,3:33.74,Joe WASKOM,USA,"Hayward Field, Eugene, OR (USA)",24 JUN 2024,1192,1500m,M,Joe WASKOM_1500m_3:33.74_24 JUN 2024,30 Oct 24
397,3:33.76,Tshepo TSHITE,RSA,"University of the Western Cape, Cape Town (RSA)",29 APR 2024,1192,1500m,M,Tshepo TSHITE_1500m_3:33.76_29 APR 2024,30 Oct 24
398,3:33.78,Andrew HUNTER,USA,"Jack Kemp Stadium, Los Angeles, CA (USA)",20 JUL 2024,1192,1500m,M,Andrew HUNTER_1500m_3:33.78_20 JUL 2024,30 Oct 24
545,3:37.50,Selemon BAREGA,ETH,"Stadium Miramas Métropole, Miramas (FRA) (i)",02 FEB 2024,1192,1500m,M,Selemon BAREGA_1500m_3:37.50_02 FEB 2024,30 Oct 24
1003,13:05.07,Thomas FAFARD,CAN,"Boudewijnstadion, Bruxelles (BEL)",25 MAY 2024,1191,5000m,M,Thomas FAFARD_5000m_13:05.07_25 MAY 2024,30 Oct 24
399,3:33.82,Waleed SULIMAN,USA,"Billy J. Murphy Track and Field Complex, Memphis, TN (USA)",12 JUL 2024,1191,1500m,M,Waleed SULIMAN_1500m_3:33.82_12 JUL 2024,30 Oct 24
400,3:33.84,Teddese LEMI,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",14 JUN 2024,1191,1500m,M,Teddese LEMI_1500m_3:33.84_14 JUN 2024,30 Oct 24
401,3:33.84,Elliott COOK,USA,"Hayward Field, Eugene, OR (USA)",24 JUN 2024,1191,1500m,M,Elliott COOK_1500m_3:33.84_24 JUN 2024,30 Oct 24
35,1:44.44,Abraham ALVARADO,USA,"Hayward Field, Eugene, OR (USA)",28 JUN 2024,1191,800m,M,Abraham ALVARADO_800m_1:44.44_28 JUN 2024,30 Oct 24
1569,2:24:08,Nazret WELDU,ERI,Wien (AUT),21 APR 2024,1191,Full,F,Nazret WELDU_Full_2:24:08_21 APR 2024,30 Oct 24
1002,13:05.00,Aron KIFLE,ERI,"LAZ Wien, Wien (AUT)",22 JUN 2024,1191,5000m,M,Aron KIFLE_5000m_13:05.00_22 JUN 2024,30 Oct 24
1286,27:22.38,Mohamed ISMAIL,DJI,"Parliament Hill Fields Athletics Track, London (GBR)",18 MAY 2024,1191,10000m,M,Mohamed ISMAIL_10000m_27:22.38_18 MAY 2024,30 Oct 24
2012,2:08:10,Solomon SUTER,KEN,Wuxi (CHN),24 MAR 2024,1191,Full,M,Solomon SUTER_Full_2:08:10_24 MAR 2024,30 Oct 24
31,1:58.39,Daily COOPER GASPAR,CUB,"Stade de France, Paris (FRA)",04 AUG 2024,1191,800m,F,Daily COOPER GASPAR_800m_1:58.39_04 AUG 2024,30 Oct 24
1098,13:18.96,Alex Chesiro MASAI,KEN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1191,5000m,M,Alex Chesiro MASAI_5000m_13:18.96_10 FEB 2024,30 Oct 24
1100,13:19.09,Travis MAHONEY,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1191,5000m,M,Travis MAHONEY_5000m_13:19.09_10 FEB 2024,30 Oct 24
1285,27:22.32,Richard ETIR,KEN,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",28 SEP 2024,1191,10000m,M,Richard ETIR_10000m_27:22.32_28 SEP 2024,30 Oct 24
1247,1:07:04,Alemaddis EYAYU,ETH,Buenos Aires (ARG),25 AUG 2024,1191,Half,F,Alemaddis EYAYU_Half_1:07:04_25 AUG 2024,30 Oct 24
2014,2:08:11,Raphael KOLIAN,KEN,Eindhoven (NED),13 OCT 2024,1191,Full,M,Raphael KOLIAN_Full_2:08:11_13 OCT 2024,30 Oct 24
2013,2:08:11,Tsubasa ICHIYAMA,JPN,Osaka (JPN),25 FEB 2024,1191,Full,M,Tsubasa ICHIYAMA_Full_2:08:11_25 FEB 2024,30 Oct 24
842,14:45.51,Janeth CHEPNGETICH,KEN,"Parc des Sports, Maisons-Laffitte (FRA)",06 JUL 2024,1191,5000m,F,Janeth CHEPNGETICH_5000m_14:45.51_06 JUL 2024,30 Oct 24
1246,1:07:04,Angela TANUI,KEN,Napoli (ITA),25 FEB 2024,1191,Half,F,Angela TANUI_Half_1:07:04_25 FEB 2024,30 Oct 24
2011,2:08:09,Sila KIPTOO,KEN,Roma (ITA),17 MAR 2024,1191,Full,M,Sila KIPTOO_Full_2:08:09_17 MAR 2024,30 Oct 24
32,1:58.40,Claudia HOLLINGSWORTH,AUS,"SA Athletic Stadium, Adelaide (AUS)",14 APR 2024,1191,800m,F,Claudia HOLLINGSWORTH_800m_1:58.40_14 APR 2024,30 Oct 24
1570,2:24:12,Fatima Ezzahra GARDADI,MAR,Xiamen (CHN),07 JAN 2024,1190,Full,F,Fatima Ezzahra GARDADI_Full_2:24:12_07 JAN 2024,30 Oct 24
1248,1:07:07,Jessica WARNER-JUDD,GBR,Barcelona (ESP),11 FEB 2024,1190,Half,F,Jessica WARNER-JUDD_Half_1:07:07_11 FEB 2024,30 Oct 24
1249,1:07:07,Konstanze KLOSTERHALFEN,GER,Valencia (ESP),27 OCT 2024,1190,Half,F,Konstanze KLOSTERHALFEN_Half_1:07:07_27 OCT 2024,30 Oct 24
2016,2:08:12,Conner MANTZ,USA,"Stade de France, Paris (FRA)",10 AUG 2024,1190,Full,M,Conner MANTZ_Full_2:08:12_10 AUG 2024,30 Oct 24
33,1:58.47,Anaïs BOURGOIN,FRA,"Stade de France, Paris (FRA)",02 AUG 2024,1190,800m,F,Anaïs BOURGOIN_800m_1:58.47_02 AUG 2024,30 Oct 24
1572,2:24:13,Asmarech NEGA,ETH,Dublin (IRL),27 OCT 2024,1190,Full,F,Asmarech NEGA_Full_2:24:13_27 OCT 2024,30 Oct 24
1088,31:03.46,Fiona O'KEEFFE,USA,"Parliament Hill Fields Athletics Track, London (GBR)",18 MAY 2024,1190,10000m,F,Fiona O'KEEFFE_10000m_31:03.46_18 MAY 2024,30 Oct 24
1087,31:02.43,Wede KEFALE,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",14 JUN 2024,1190,10000m,F,Wede KEFALE_10000m_31:02.43_14 JUN 2024,30 Oct 24
2015,2:08:12,Guojian DONG,CHN,Osaka (JPN),25 FEB 2024,1190,Full,M,Guojian DONG_Full_2:08:12_25 FEB 2024,30 Oct 24
36,1:44.46,Sam WHITMARSH,USA,"LSU Bernie Moore Stadium, Baton Rouge, LA (USA)",30 MAR 2024,1190,800m,M,Sam WHITMARSH_800m_1:44.46_30 MAR 2024,30 Oct 24
1571,2:24:12,Méline ROLLIN,FRA,Sevilla (ESP),18 FEB 2024,1190,Full,F,Méline ROLLIN_Full_2:24:12_18 FEB 2024,30 Oct 24
1089,31:04.02,Rachel SMITH,USA,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",16 MAR 2024,1189,10000m,F,Rachel SMITH_10000m_31:04.02_16 MAR 2024,30 Oct 24
1004,13:05.55,Andrew Kiptoo ALAMISI,KEN,"Polisportivo Comunale, San Vito al Tagliamento (ITA)",02 JUN 2024,1189,5000m,M,Andrew Kiptoo ALAMISI_5000m_13:05.55_02 JUN 2024,30 Oct 24
1574,2:24:21,Valentine Chepkwemoi MATEIKO,KEN,Paris (FRA),07 APR 2024,1189,Full,F,Valentine Chepkwemoi MATEIKO_Full_2:24:21_07 APR 2024,30 Oct 24
1575,2:24:22,Yuki NAKAMURA,JPN,Gold Coast (AUS),07 JUL 2024,1189,Full,F,Yuki NAKAMURA_Full_2:24:22_07 JUL 2024,30 Oct 24
2017,2:08:15,Douglas CHEBII,KEN,Dubai (UAE),07 JAN 2024,1189,Full,M,Douglas CHEBII_Full_2:08:15_07 JAN 2024,30 Oct 24
367,4:02.05,Ludovica CAVALLI,ITA,"Zdzisław Krzyszkowiak Stadium, Bydgoszcz (POL)",20 JUN 2024,1189,1500m,F,Ludovica CAVALLI_1500m_4:02.05_20 JUN 2024,30 Oct 24
666,9:21.98,Madie BOREMAN,USA,"Drake Stadium, Los Angeles, CA (USA)",17 MAY 2024,1189,3000m Steeple,F,Madie BOREMAN_3000m Steeple_9:21.98_17 MAY 2024,30 Oct 24
665,9:21.82,Allie OSTRANDER,USA,"Hayward Field, Eugene, OR (USA)",27 JUN 2024,1189,3000m Steeple,F,Allie OSTRANDER_3000m Steeple_9:21.82_27 JUN 2024,30 Oct 24
664,9:21.75,Daisy JEPKEMEI,KAZ,"Stade Charléty, Paris (FRA)",07 JUL 2024,1189,3000m Steeple,F,Daisy JEPKEMEI_3000m Steeple_9:21.75_07 JUL 2024,30 Oct 24
37,1:58.53,Lilian ODIRA,KEN,"Stade de France, Paris (FRA)",04 AUG 2024,1189,800m,F,Lilian ODIRA_800m_1:58.53_04 AUG 2024,30 Oct 24
402,3:33.96,Colin SAHLMAN,USA,"Cougar Athletic Stadium, Azusa, CA (USA)",13 APR 2024,1189,1500m,M,Colin SAHLMAN_1500m_3:33.96_13 APR 2024,30 Oct 24
2018,2:08:15,Goitom KIFLE,ERI,Linz (AUT),07 APR 2024,1189,Full,M,Goitom KIFLE_Full_2:08:15_07 APR 2024,30 Oct 24
1250,1:07:08,Veronica LOLEO,KEN,Copenhagen (DEN),15 SEP 2024,1189,Half,F,Veronica LOLEO_Half_1:07:08_15 SEP 2024,30 Oct 24
36,1:58.52,Majtie KOLBERG,GER,"Stade de France, Paris (FRA)",04 AUG 2024,1189,800m,F,Majtie KOLBERG_800m_1:58.52_04 AUG 2024,30 Oct 24
799,8:15.08,Frederik RUPPERT,GER,"Stadio Olimpico, Roma (ITA)",10 JUN 2024,1189,3000m Steeple,M,Frederik RUPPERT_3000m Steeple_8:15.08_10 JUN 2024,30 Oct 24
1287,27:23.09,James Mwanzia MUTUKU,KEN,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",27 APR 2024,1189,10000m,M,James Mwanzia MUTUKU_10000m_27:23.09_27 APR 2024,30 Oct 24
1288,27:23.52,Richard YATOR,KEN,"NITTAIDAI Athletic Stadium, Yokohama (JPN)",27 APR 2024,1189,10000m,M,Richard YATOR_10000m_27:23.52_27 APR 2024,30 Oct 24
844,14:46.77,Girmawit GEBRZIHAIR,ETH,"Parc des Sports, Maisons-Laffitte (FRA)",06 JUL 2024,1189,5000m,F,Girmawit GEBRZIHAIR_5000m_14:46.77_06 JUL 2024,30 Oct 24
34,1:58.49,Abbey CALDWELL,AUS,"Stade de France, Paris (FRA)",02 AUG 2024,1189,800m,F,Abbey CALDWELL_800m_1:58.49_02 AUG 2024,30 Oct 24
2019,2:08:15,Abdisa TOLA,ETH,Cape Town (RSA),20 OCT 2024,1189,Full,M,Abdisa TOLA_Full_2:08:15_20 OCT 2024,30 Oct 24
37,1:44.49,Elvin Josué CANALES,HON,"Pista atletismo Fuente de la Niña, Guadalajara (ESP)",23 JUN 2024,1189,800m,M,Elvin Josué CANALES_800m_1:44.49_23 JUN 2024,30 Oct 24
560,3:37.71,Benjamin ALLEN,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",09 FEB 2024,1189,1500m,M,Benjamin ALLEN_1500m_3:37.71_09 FEB 2024,30 Oct 24
1573,2:24:18,Florencia BORELLI,ARG,Sevilla (ESP),18 FEB 2024,1189,Full,F,Florencia BORELLI_Full_2:24:18_18 FEB 2024,30 Oct 24
403,3:33.98,Romain MORNET,FRA,"Stadion Allmend, Luzern (SUI)",16 JUL 2024,1189,1500m,M,Romain MORNET_1500m_3:33.98_16 JUL 2024,30 Oct 24
35,1:58.51,Ciara MAGEEAN,IRL,"Sportcity Regional Arena, Manchester (GBR)",25 MAY 2024,1189,800m,F,Ciara MAGEEAN_800m_1:58.51_25 MAY 2024,30 Oct 24
2022,2:08:18,Kaan Kigen ÖZBILEN,TUR,Daegu (KOR),07 APR 2024,1189,Full,M,Kaan Kigen ÖZBILEN_Full_2:08:18_07 APR 2024,30 Oct 24
2021,2:08:17,CJ ALBERTSON,USA,"Chicago, IL (USA)",13 OCT 2024,1189,Full,M,CJ ALBERTSON_Full_2:08:17_13 OCT 2024,30 Oct 24
2020,2:08:17,Yitayal Atnafu ZERIHUN,ETH,Sevilla (ESP),18 FEB 2024,1189,Full,M,Yitayal Atnafu ZERIHUN_Full_2:08:17_18 FEB 2024,30 Oct 24
1577,2:24:29,Gabriella ROOKER,USA,"Chicago, IL (USA)",13 OCT 2024,1188,Full,F,Gabriella ROOKER_Full_2:24:29_13 OCT 2024,30 Oct 24
1251,1:07:12,Susan CHEMBAI,KEN,Den Haag (NED),10 MAR 2024,1188,Half,F,Susan CHEMBAI_Half_1:07:12_10 MAR 2024,30 Oct 24
1090,31:05.31,Keira D'AMATO,USA,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",16 MAR 2024,1188,10000m,F,Keira D'AMATO_10000m_31:05.31_16 MAR 2024,30 Oct 24
38,1:58.56,Bendere OBOYA,AUS,"LAZ Wien, Wien (AUT)",22 JUN 2024,1188,800m,F,Bendere OBOYA_800m_1:58.56_22 JUN 2024,30 Oct 24
38,1:44.53,Mark ENGLISH,IRL,"Estadio Vallehermoso, Madrid (ESP)",21 JUN 2024,1188,800m,M,Mark ENGLISH_800m_1:44.53_21 JUN 2024,30 Oct 24
1576,2:24:24,Sifan MELAKU,ETH,Seoul (KOR),17 MAR 2024,1188,Full,F,Sifan MELAKU_Full_2:24:24_17 MAR 2024,30 Oct 24
404,3:34.05,Eric HOLT,USA,"Icahn Stadium, New York, NY (USA)",09 JUN 2024,1188,1500m,M,Eric HOLT_1500m_3:34.05_09 JUN 2024,30 Oct 24
571,3:37.79,Hicham AKANKAM,MAR,"L'Anneau-Halle d'athlétisme de Metz, Metz (FRA) (i)",03 FEB 2024,1188,1500m,M,Hicham AKANKAM_1500m_3:37.79_03 FEB 2024,30 Oct 24
2023,2:08:20,Gebise DEBELE,ETH,Chongqing (CHN),24 MAR 2024,1188,Full,M,Gebise DEBELE_Full_2:08:20_24 MAR 2024,30 Oct 24
1108,13:19.70,Sam PARSONS,GER,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1188,5000m,M,Sam PARSONS_5000m_13:19.70_10 FEB 2024,30 Oct 24
1005,13:05.95,Santiago CATROFE,URU,"Stadion De Veen, Heusden-Zolder (BEL)",15 JUN 2024,1188,5000m,M,Santiago CATROFE_5000m_13:05.95_15 JUN 2024,30 Oct 24
2024,2:08:21,Yuhei URANO,JPN,Tokyo (JPN),03 MAR 2024,1188,Full,M,Yuhei URANO_Full_2:08:21_03 MAR 2024,30 Oct 24
368,4:02.20,Maia RAMSDEN,NZL,"Stade de France, Paris (FRA)",08 AUG 2024,1188,1500m,F,Maia RAMSDEN_1500m_4:02.20_08 AUG 2024,30 Oct 24
369,4:02.22,Lucia STAFFORD,CAN,"Stade de France, Paris (FRA)",06 AUG 2024,1188,1500m,F,Lucia STAFFORD_1500m_4:02.22_06 AUG 2024,30 Oct 24
802,8:15.29,Luc LE BARON,FRA,"Stade Charléty, Paris (FRA)",07 JUL 2024,1188,3000m Steeple,M,Luc LE BARON_3000m Steeple_8:15.29_07 JUL 2024,30 Oct 24
801,8:15.28,Edmund SEREM,KEN,"Estadio Atlético de la VIDENA, Lima (PER)",31 AUG 2024,1188,3000m Steeple,M,Edmund SEREM_3000m Steeple_8:15.28_31 AUG 2024,30 Oct 24
800,8:15.14,Hailemariyam AMARE,ETH,"Stade Delort, Marseille (FRA)",22 MAY 2024,1188,3000m Steeple,M,Hailemariyam AMARE_3000m Steeple_8:15.14_22 MAY 2024,30 Oct 24
668,9:22.36,Stella RUTTO,ROU,"Stadio Olimpico, Roma (ITA)",09 JUN 2024,1188,3000m Steeple,F,Stella RUTTO_3000m Steeple_9:22.36_09 JUN 2024,30 Oct 24
667,9:22.19,Carolina ROBLES,ESP,"Estadi Olímpic Camilo Cano, La Nucia (ESP)",28 JUN 2024,1188,3000m Steeple,F,Carolina ROBLES_3000m Steeple_9:22.19_28 JUN 2024,30 Oct 24
1519,59:59,Andamlak BELIHU,ETH,Santa Pola (ESP),21 JAN 2024,1187,Half,M,Andamlak BELIHU_Half_59:59_21 JAN 2024,30 Oct 24
1113,13:20.17,Charles WHEELER,GBR,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1187,5000m,M,Charles WHEELER_5000m_13:20.17_10 FEB 2024,30 Oct 24
40,1:44.57,Jose MAITA,VEN,"Estadio Brigido Iriarte, Caracas (VEN)",29 JUN 2024,1187,800m,M,Jose MAITA_800m_1:44.57_29 JUN 2024,30 Oct 24
845,14:47.74,Gela HAMBESE,ETH,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2024,1187,5000m,F,Gela HAMBESE_5000m_14:47.74_10 MAY 2024,30 Oct 24
846,14:47.78,Yenawa NBRET,ETH,"Suzhou Olympic Sports Centre, Suzhou (CHN)",27 APR 2024,1187,5000m,F,Yenawa NBRET_5000m_14:47.78_27 APR 2024,30 Oct 24
39,1:44.55,Slimane MOULA,ALG,"Suzhou Olympic Sports Centre, Suzhou (CHN)",27 APR 2024,1187,800m,M,Slimane MOULA_800m_1:44.55_27 APR 2024,30 Oct 24
1520,59:59,Nicholas KIPKORIR,KEN,New Delhi (IND),20 OCT 2024,1187,Half,M,Nicholas KIPKORIR_Half_59:59_20 OCT 2024,30 Oct 24
1252,1:07:16,Grace Loibach NAWOWUNA,KEN,Cardiff (GBR),06 OCT 2024,1187,Half,F,Grace Loibach NAWOWUNA_Half_1:07:16_06 OCT 2024,30 Oct 24
405,3:34.12,Vincent Kibet KETER,KEN,"Nyayo National Stadium, Nairobi (KEN)",20 APR 2024,1187,1500m,M,Vincent Kibet KETER_1500m_3:34.12_20 APR 2024,30 Oct 24
2027,2:08:24,Yuta SHIMODA,JPN,Oita (JPN),04 FEB 2024,1187,Full,M,Yuta SHIMODA_Full_2:08:24_04 FEB 2024,30 Oct 24
2026,2:08:22,Toshiki SADAKATA,JPN,"Chicago, IL (USA)",13 OCT 2024,1187,Full,M,Toshiki SADAKATA_Full_2:08:22_13 OCT 2024,30 Oct 24
2025,2:08:22,Timothy KIPCHUMBA,KEN,Padova (ITA),21 APR 2024,1187,Full,M,Timothy KIPCHUMBA_Full_2:08:22_21 APR 2024,30 Oct 24
671,9:22.77,Ilona MONONEN,FIN,"Stade de France, Paris (FRA)",04 AUG 2024,1187,3000m Steeple,F,Ilona MONONEN_3000m Steeple_9:22.77_04 AUG 2024,30 Oct 24
670,9:22.77,Lexy HALLADAY,USA,"Hayward Field, Eugene, OR (USA)",27 JUN 2024,1187,3000m Steeple,F,Lexy HALLADAY_3000m Steeple_9:22.77_27 JUN 2024,30 Oct 24
669,9:22.66,Annie RODENFELS,USA,"Hayward Field, Eugene, OR (USA)",27 JUN 2024,1187,3000m Steeple,F,Annie RODENFELS_3000m Steeple_9:22.66_27 JUN 2024,30 Oct 24
2028,2:08:25,Gerba DIBABA,ETH,Milano (ITA),07 APR 2024,1187,Full,M,Gerba DIBABA_Full_2:08:25_07 APR 2024,30 Oct 24
1289,27:24.33,Daniel Simiu EBENYO,KEN,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1187,10000m,M,Daniel Simiu EBENYO_10000m_27:24.33_25 MAY 2024,30 Oct 24
41,1:44.57,Tobias GRØNSTAD,NOR,"Stade de France, Paris (FRA)",08 AUG 2024,1187,800m,M,Tobias GRØNSTAD_800m_1:44.57_08 AUG 2024,30 Oct 24
204,1:46.43,Cian MCPHILLIPS,IRL,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",10 FEB 2024,1187,800m,M,Cian MCPHILLIPS_800m_1:46.43_10 FEB 2024,30 Oct 24
1578,2:24:30,Carolina WIKSTRÖM,SWE,Sevilla (ESP),18 FEB 2024,1187,Full,F,Carolina WIKSTRÖM_Full_2:24:30_18 FEB 2024,30 Oct 24
39,1:58.60,Rachel PELLAUD,SUI,"Stadion Deutweg, Winterthur (SUI)",29 JUN 2024,1187,800m,F,Rachel PELLAUD_800m_1:58.60_29 JUN 2024,30 Oct 24
1522,1:00:00,Evans KIPKORIR,KEN,"Atletiekstadium Gentbrugge, Gentbrugge (BEL)",10 MAR 2024,1186,Half,M,Evans KIPKORIR_Half_1:00:00_10 MAR 2024,30 Oct 24
672,9:22.92,Luiza GEGA,ALB,"Stadio Olimpico, Roma (ITA)",09 JUN 2024,1186,3000m Steeple,F,Luiza GEGA_3000m Steeple_9:22.92_09 JUN 2024,30 Oct 24
2030,2:08:26,Michael KAMAU,KEN,Wuxi (CHN),24 MAR 2024,1186,Full,M,Michael KAMAU_Full_2:08:26_24 MAR 2024,30 Oct 24
2031,2:08:27,Tolosa GELETO,ETH,Milano (ITA),07 APR 2024,1186,Full,M,Tolosa GELETO_Full_2:08:27_07 APR 2024,30 Oct 24
2029,2:08:26,Dario IVANOVSKI,MKD,Sevilla (ESP),18 FEB 2024,1186,Full,M,Dario IVANOVSKI_Full_2:08:26_18 FEB 2024,30 Oct 24
1524,1:00:01,Geoffrey TOROITICH,KEN,Praha (CZE),06 APR 2024,1186,Half,M,Geoffrey TOROITICH_Half_1:00:01_06 APR 2024,30 Oct 24
1523,1:00:01,Emile CAIRESS,GBR,Napoli (ITA),25 FEB 2024,1186,Half,M,Emile CAIRESS_Half_1:00:01_25 FEB 2024,30 Oct 24
406,3:34.21,Craig ENGELS,USA,"Hayward Field, Eugene, OR (USA)",24 JUN 2024,1186,1500m,M,Craig ENGELS_1500m_3:34.21_24 JUN 2024,30 Oct 24
1521,1:00:00,Edward Konana KOONYO,KEN,"Atletiekstadium Gentbrugge, Gentbrugge (BEL)",10 MAR 2024,1186,Half,M,Edward Konana KOONYO_Half_1:00:00_10 MAR 2024,30 Oct 24
1585,2:24:41,Judith KIYENG,KEN,Frankfurt (GER),27 OCT 2024,1186,Full,F,Judith KIYENG_Full_2:24:41_27 OCT 2024,30 Oct 24
1584,2:24:41,Sharon Jemutai CHEROP,KEN,Hannover (GER),14 APR 2024,1186,Full,F,Sharon Jemutai CHEROP_Full_2:24:41_14 APR 2024,30 Oct 24
1253,1:07:17,Caroline NYAGA,KEN,Cardiff (GBR),06 OCT 2024,1186,Half,F,Caroline NYAGA_Half_1:07:17_06 OCT 2024,30 Oct 24
1583,2:24:40,Lisa WEIGHTMAN,AUS,Berlin (GER),29 SEP 2024,1186,Full,F,Lisa WEIGHTMAN_Full_2:24:40_29 SEP 2024,30 Oct 24
1581,2:24:39,Tigist GASHAW,BRN,Daegu (KOR),07 APR 2024,1186,Full,F,Tigist GASHAW_Full_2:24:39_07 APR 2024,30 Oct 24
40,1:58.69,Valentina ROSAMILIA,SUI,"Stadion Deutweg, Winterthur (SUI)",29 JUN 2024,1186,800m,F,Valentina ROSAMILIA_800m_1:58.69_29 JUN 2024,30 Oct 24
42,1:44.58,Isaiah HARRIS,USA,"Drake Stadium, Los Angeles, CA (USA)",18 MAY 2024,1186,800m,M,Isaiah HARRIS_800m_1:44.58_18 MAY 2024,30 Oct 24
1091,31:06.89,Agnes Mwikali MUTUKU,KEN,"Athletics Stadium, Fukagawa (JPN)",17 JUL 2024,1186,10000m,F,Agnes Mwikali MUTUKU_10000m_31:06.89_17 JUL 2024,30 Oct 24
43,1:44.60,Abubaker Haydar ABDALLA,QAT,"Polideportivo Rey Juan Carlos, Ciudad Real (ESP)",21 APR 2024,1186,800m,M,Abubaker Haydar ABDALLA_800m_1:44.60_21 APR 2024,30 Oct 24
41,1:58.70,Noélie YARIGO,BEN,"Suhaim bin Hamad Stadium, Doha (QAT)",10 MAY 2024,1186,800m,F,Noélie YARIGO_800m_1:58.70_10 MAY 2024,30 Oct 24
1582,2:24:40,Esther NAVARRETE,ESP,Sevilla (ESP),18 FEB 2024,1186,Full,F,Esther NAVARRETE_Full_2:24:40_18 FEB 2024,30 Oct 24
1092,31:07.23,Elly HENES,USA,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",16 MAR 2024,1186,10000m,F,Elly HENES_10000m_31:07.23_16 MAR 2024,30 Oct 24
1580,2:24:37,Beyenu DEGEFA,ETH,Osaka (JPN),25 FEB 2024,1186,Full,F,Beyenu DEGEFA_Full_2:24:37_25 FEB 2024,30 Oct 24
1579,2:24:37,Tejinesh GEBISA,ETH,Sevilla (ESP),18 FEB 2024,1186,Full,F,Tejinesh GEBISA_Full_2:24:37_18 FEB 2024,30 Oct 24
1588,2:24:45,Amente Sorome NEGASH,ETH,Dublin (IRL),27 OCT 2024,1185,Full,F,Amente Sorome NEGASH_Full_2:24:45_27 OCT 2024,30 Oct 24
371,4:02.57,Jemma REEKIE,GBR,"Stadion Śląski, Chorzów (POL)",18 MAY 2024,1185,1500m,F,Jemma REEKIE_1500m_4:02.57_18 MAY 2024,30 Oct 24
1589,2:24:46,Veronica MAINA,KEN,Wuxi (CHN),24 MAR 2024,1185,Full,F,Veronica MAINA_Full_2:24:46_24 MAR 2024,30 Oct 24
1590,2:24:46,Atsede BAYISA,ETH,Lima (PER),19 MAY 2024,1185,Full,F,Atsede BAYISA_Full_2:24:46_19 MAY 2024,30 Oct 24
403,4:05.32,Sarah MCDONALD,GBR,"Arena, Toruń (POL) (i)",06 FEB 2024,1185,1500m,F,Sarah MCDONALD_1500m_4:05.32_06 FEB 2024,30 Oct 24
370,4:02.54,Teresiah Muthoni GATERI,KEN,"Ishin Me-Life Stadium, Yamaguchi (JPN)",22 SEP 2024,1185,1500m,F,Teresiah Muthoni GATERI_1500m_4:02.54_22 SEP 2024,30 Oct 24
1587,2:24:45,Munkhzaya BAYARTSOGT,MGL,Seoul (KOR),17 MAR 2024,1185,Full,F,Munkhzaya BAYARTSOGT_Full_2:24:45_17 MAR 2024,30 Oct 24
43,1:58.75,Katie SNOWDEN,GBR,"Wieslaw Maniak Municipal Athletic Stadium, Szczecin (POL)",28 AUG 2024,1185,800m,F,Katie SNOWDEN_800m_1:58.75_28 AUG 2024,30 Oct 24
1254,1:07:19,Peres JEPCHIRCHIR,KEN,Ras Al Khaimah (UAE),24 FEB 2024,1185,Half,F,Peres JEPCHIRCHIR_Half_1:07:19_24 FEB 2024,30 Oct 24
1255,1:07:19,Maurine JEMUTAI,KEN,Yangzhou (CHN),31 MAR 2024,1185,Half,F,Maurine JEMUTAI_Half_1:07:19_31 MAR 2024,30 Oct 24
407,3:34.22,Jesús GÓMEZ,ESP,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",14 JUN 2024,1185,1500m,M,Jesús GÓMEZ_1500m_3:34.22_14 JUN 2024,30 Oct 24
408,3:34.28,Mario GARCÍA,ESP,"Hayward Field, Eugene, OR (USA)",25 MAY 2024,1185,1500m,M,Mario GARCÍA_1500m_3:34.28_25 MAY 2024,30 Oct 24
42,1:58.73,Rose Mary ALMANZA,CUB,"Stade de France, Paris (FRA)",04 AUG 2024,1185,800m,F,Rose Mary ALMANZA_800m_1:58.73_04 AUG 2024,30 Oct 24
587,3:37.99,Filip SASÍNEK,CZE,"Atletická hala, Ostrava (CZE) (i)",30 JAN 2024,1185,1500m,M,Filip SASÍNEK_1500m_3:37.99_30 JAN 2024,30 Oct 24
1290,27:26.02,Luis GRIJALVA,GUA,"JSerra Catholic HS, San Juan Capistrano, CA (USA)",16 MAR 2024,1185,10000m,M,Luis GRIJALVA_10000m_27:26.02_16 MAR 2024,30 Oct 24
1291,27:26.18,Boki DIRIBA,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",14 JUN 2024,1185,10000m,M,Boki DIRIBA_10000m_27:26.18_14 JUN 2024,30 Oct 24
