Unnamed: 0,Mark,Competitor,Nat,Location,Date,Results Score,Discipline,Gender,Performance_ID,Date_Created
640,8:48.03,Peruth CHEMUTAI,UGA,"Stadio Olimpico, Roma (ITA)",30 AUG 2024,1275,3000m Steeple,F,Peruth CHEMUTAI_3000m Steeple_8:48.03_30 AUG 2024,30 Oct 24
1855,2:03:17,Milkesa MENGESHA,ETH,Berlin (GER),29 SEP 2024,1274,Full,M,Milkesa MENGESHA_Full_2:03:17_29 SEP 2024,30 Oct 24
1469,2:16:07,Tigist KETEMA,ETH,Dubai (UAE),07 JAN 2024,1274,Full,F,Tigist KETEMA_Full_2:16:07_07 JAN 2024,30 Oct 24
976,12:57.14,Nico YOUNG,USA,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1274,5000m,M,Nico YOUNG_5000m_12:57.14_26 JAN 2024,30 Oct 24
1248,26:31.13,Berihu AREGAWI,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",14 JUN 2024,1273,10000m,M,Berihu AREGAWI_10000m_26:31.13_14 JUN 2024,30 Oct 24
1247,26:31.01,Yomif KEJELCHA,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",14 JUN 2024,1273,10000m,M,Yomif KEJELCHA_10000m_26:31.01_14 JUN 2024,30 Oct 24
1856,2:03:22,CyBrian KOTUT,KEN,Berlin (GER),29 SEP 2024,1273,Full,M,CyBrian KOTUT_Full_2:03:22_29 SEP 2024,30 Oct 24
977,12:57.52,Edwin KURGAT,KEN,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1272,5000m,M,Edwin KURGAT_5000m_12:57.52_26 JAN 2024,30 Oct 24
1471,2:16:16,Peres JEPCHIRCHIR,KEN,London (GBR),21 APR 2024,1272,Full,F,Peres JEPCHIRCHIR_Full_2:16:16_21 APR 2024,30 Oct 24
1470,2:16:14,Rosemary WANJIRU,KEN,Tokyo (JPN),03 MAR 2024,1272,Full,F,Rosemary WANJIRU_Full_2:16:14_03 MAR 2024,30 Oct 24
1857,2:03:27,Deresa GELETA,ETH,Sevilla (ESP),18 FEB 2024,1271,Full,M,Deresa GELETA_Full_2:03:27_18 FEB 2024,30 Oct 24
1473,2:16:24,Joyciline JEPKOSGEI,KEN,London (GBR),21 APR 2024,1271,Full,F,Joyciline JEPKOSGEI_Full_2:16:24_21 APR 2024,30 Oct 24
1472,2:16:23,Tigst ASSEFA,ETH,London (GBR),21 APR 2024,1271,Full,F,Tigst ASSEFA_Full_2:16:23_21 APR 2024,30 Oct 24
1858,2:03:31,Haymanot ALEW,ETH,Berlin (GER),29 SEP 2024,1270,Full,M,Haymanot ALEW_Full_2:03:31_29 SEP 2024,30 Oct 24
1214,1:03:21,Fotyen TESFAY,ETH,Valencia (ESP),27 OCT 2024,1270,Half,F,Fotyen TESFAY_Half_1:03:21_27 OCT 2024,30 Oct 24
953,12:43.66,Berihu AREGAWI,ETH,"Boudewijnstadion, Bruxelles (BEL)",13 SEP 2024,1270,5000m,M,Berihu AREGAWI_5000m_12:43.66_13 SEP 2024,30 Oct 24
1474,2:16:34,Megertu ALEMU,ETH,London (GBR),21 APR 2024,1269,Full,F,Megertu ALEMU_Full_2:16:34_21 APR 2024,30 Oct 24
978,12:58.68,George MILLS,GBR,"Boston Univ. Track & Tennis Center, Boston, MA (USA) (i)",26 JAN 2024,1268,5000m,M,George MILLS_5000m_12:58.68_26 JAN 2024,30 Oct 24
1859,2:03:37,Stephen KIPROP,KEN,Berlin (GER),29 SEP 2024,1268,Full,M,Stephen KIPROP_Full_2:03:37_29 SEP 2024,30 Oct 24
1249,26:34.93,Selemon BAREGA,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",14 JUN 2024,1267,10000m,M,Selemon BAREGA_10000m_26:34.93_14 JUN 2024,30 Oct 24
1860,2:03:47,Morhad AMDOUNI,FRA,Sevilla (ESP),18 FEB 2024,1266,Full,M,Morhad AMDOUNI_Full_2:03:47_18 FEB 2024,30 Oct 24
1215,1:03:32,Lilian Kasait RENGERUK,KEN,Valencia (ESP),27 OCT 2024,1266,Half,F,Lilian Kasait RENGERUK_Half_1:03:32_27 OCT 2024,30 Oct 24
1475,2:16:52,Yalemzerf YEHUALAW,ETH,Amsterdam (NED),20 OCT 2024,1266,Full,F,Yalemzerf YEHUALAW_Full_2:16:52_20 OCT 2024,30 Oct 24
323,3:52.61,Georgia BELL,GBR,"Stade de France, Paris (FRA)",10 AUG 2024,1266,1500m,F,Georgia BELL_1500m_3:52.61_10 AUG 2024,30 Oct 24
1484,58:05,Sabastian Kimaru SAWE,KEN,Copenhagen (DEN),15 SEP 2024,1265,Half,M,Sabastian Kimaru SAWE_Half_58:05_15 SEP 2024,30 Oct 24
1476,2:16:58,Amane Beriso SHANKULE,ETH,Tokyo (JPN),03 MAR 2024,1265,Full,F,Amane Beriso SHANKULE_Full_2:16:58_03 MAR 2024,30 Oct 24
5,1:42.04,Mohamed ATTAOUI,ESP,"Stade Louis II, Monaco (MON)",12 JUL 2024,1265,800m,M,Mohamed ATTAOUI_800m_1:42.04_12 JUL 2024,30 Oct 24
6,1:42.08,Aaron Kemei CHEMININGWA,KEN,"Stade Charléty, Paris (FRA)",07 JUL 2024,1264,800m,M,Aaron Kemei CHEMININGWA_800m_1:42.08_07 JUL 2024,30 Oct 24
324,3:52.75,Diribe WELTEJI,ETH,"Stade de France, Paris (FRA)",10 AUG 2024,1264,1500m,F,Diribe WELTEJI_1500m_3:52.75_10 AUG 2024,30 Oct 24
7,1:42.08,Wyclife KINYAMAL,KEN,"Stade Charléty, Paris (FRA)",07 JUL 2024,1264,800m,M,Wyclife KINYAMAL_800m_1:42.08_07 JUL 2024,30 Oct 24
954,12:45.63,Telahun Haile BEKELE,ETH,"Boudewijnstadion, Bruxelles (BEL)",13 SEP 2024,1263,5000m,M,Telahun Haile BEKELE_5000m_12:45.63_13 SEP 2024,30 Oct 24
801,14:09.52,Beatrice CHEBET,KEN,"Letzigrund, Zürich (SUI)",05 SEP 2024,1263,5000m,F,Beatrice CHEBET_5000m_14:09.52_05 SEP 2024,30 Oct 24
350,3:28.71,Timothy CHERUIYOT,KEN,"Stade Louis II, Monaco (MON)",12 JUL 2024,1263,1500m,M,Timothy CHERUIYOT_1500m_3:28.71_12 JUL 2024,30 Oct 24
1485,58:09,Jacob KIPLIMO,UGA,Copenhagen (DEN),15 SEP 2024,1262,Half,M,Jacob KIPLIMO_Half_58:09_15 SEP 2024,30 Oct 24
1861,2:04:01,Alexander MUNYAO,KEN,London (GBR),21 APR 2024,1262,Full,M,Alexander MUNYAO_Full_2:04:01_21 APR 2024,30 Oct 24
1250,26:37.93,Biniam MEHARY,ETH,"Estadio Enrique Lopez Cuenca, Nerja (ESP)",14 JUN 2024,1262,10000m,M,Biniam MEHARY_10000m_26:37.93_14 JUN 2024,30 Oct 24
351,3:28.80,Brian KOMEN,KEN,"Stade Louis II, Monaco (MON)",12 JUL 2024,1262,1500m,M,Brian KOMEN_1500m_3:28.80_12 JUL 2024,30 Oct 24
1486,58:10,Isaia Kipkoech LASOI,KEN,Copenhagen (DEN),15 SEP 2024,1261,Half,M,Isaia Kipkoech LASOI_Half_58:10_15 SEP 2024,30 Oct 24
