Athlete Name,Total_Run_Distance_km,Avg_Weekly_Run_Mileage_km,Total_Run_Hours,Avg_Weekly_Run_Hours,Total_Ride_Hours,Total_Swim_Hours,Total_Other_Hours,Competitor,Nat,Gender,Mark,Discipline,Number_of_events,Avg_Run_Pace_min_per_km,2024 Weeks Scraped,Athlete ID
BENJAMIN CHOQUERT,2646.6,50.9,181.78,3.5,87.45,0.0,0.0,Benjamin Choquert,FRA,Male,1:02:06,Half,1,4.12,52,1837113
BETHWEL KIBET,504.27,11.206,37.30166666666667,0.828925925925926,0.0,0.0,0.0,Bethwel Kibet,KEN,Male,2:06:26,Full,1,4.438296944097409,45,146854303
BOBBY POYNTER,3660.0736818,81.33497070666667,267.0813888888889,5.9351419753086425,0.0,0.0,0.0,Bobby Poynter,USA,Male,1:46.75,800m,1,4.3782952821464525,45,64218328
BONIFACE KIBIWOTT,2417.4057074,53.72012683111112,165.27583333333334,3.672796296296296,0.0,0.0,0.0,Boniface Kibiwott,KEN,Male,2:10:06,Full,1,4.102145523047341,45,60508941
BRANDON MILLER,5036.42,96.85,437.22,8.41,0.0,0.0,0.0,Brandon Miller,USA,Male,1:43.73|3:40.11,800m|1500m,2,5.21,52,9559332
BREANNA SIERACKI,3106.91,59.75,246.26,4.74,2.67,0.0,0.0,Breanna Sieracki,USA,Female,1:10:55,Half,1,4.76,52,34130726
BRENDA JEPCHIRCHIR,806.41,17.920222222222222,59.79861111111111,1.328858024691358,0.0,0.0,0.0,Brenda Jepchirchir,KEN,Female,1:09:45,Half,1,4.449246247773051,45,146708596
BRETT GARDNER,1098.1,21.12,76.64,1.47,0.31,0.0,0.0,Brett Gardner,USA,Male,8:27.55,3000m Steeple,1,4.19,52,43139783
BRETT ROBINSON,5310.32,102.12,368.2,7.08,1.75,0.0,0.0,Brett Robinson,AUS,Male,1:01:27,Half,1,4.16,52,6193172
BRIAN FAY,43.1,0.83,2.43,0.05,0.0,0.0,0.0,Brian Fay,IRL,Male,3:37.73|13:14.97|27:43.45,1500m|5000m|10000m,3,3.38,52,24660297
BRIAN KIPTOO,3172.0252334,70.48944963111111,240.7111111111111,5.349135802469136,0.0,0.0,0.0,Brian Kiptoo,KEN,Male,13:24.15,5000m,1,4.553137381945098,45,131178025
BRIAN KIPTUM,531.48,10.22,58.42,1.12,0.0,0.0,0.0,Brian Kiptum,KEN,Male,1:46.79,800m,1,6.6,52,48092419
BRUNO PIERRU,2034.55,39.13,163.19,3.14,31.49,0.0,0.0,Bruno Pierru,FRA,Male,3:39.81,1500m,1,4.81,52,3875855
CADEN NORRIS,881.1458368,19.581018595555555,76.68194444444444,1.704043209876543,2.6391666666666667,0.0,4.355,Caden Norris,USA,Male,1:47.13,800m,1,5.221515525029904,45,129872301
CALLUM DAVIES,1080.27,20.77,73.33,1.41,0.0,0.0,0.0,Callum Davies,AUS,Male,3:35.14,1500m,1,4.07,52,18766100
CALLUM ELSON,2709.81,52.11,189.42,3.64,1.04,0.0,0.0,Callum Elson,GBR,Male,3:38.12,1500m,1,4.19,52,52417936
CAMDEN GILMORE,4024.98,77.4,283.63,5.45,0.0,0.0,0.0,Camden Gilmore,USA,Male,3:38.49,1500m,1,4.23,52,39909333
CAMERON AVERY,4722.89,90.82,342.07,6.58,19.31,0.0,0.0,Cameron Avery,NZL,Male,2:10:53,Full,1,4.35,52,36628860
CAMERON LEVINS,1123.54,21.61,70.66,1.36,0.0,0.0,0.0,Cameron Levins,CAN,Male,1:00:38|2:11:56,Half|Full,2,3.77,52,26743149
CARI HUGHES,2749.28,52.87,207.1,3.98,28.27,0.0,0.0,Cari Hughes,GBR,Female,4:06.17|15:19.81,1500m|5000m,2,4.52,52,55975379
