,Athlete ID,Athlete Name,Activity ID,Activity Name,Description,Start Date,Elapsed Time,Type,Location,Distance (mi),Pace (min/mi),Time
0,22274135,Ben Preisner,10514236164,Workout: 7am random doping test + 3x10k w/1k float rec,"Progressive 10ks: ~16:00-15:50, 15:40-15:30, 15:20-15:10. Definitely got tough but happy with the composure on the back half.",2024-01-07 16:42:11+00:00,10121,Run,"Township of Langley, Canada",25.01,5.4,2h 15m
1,22274135,Ben Preisner,10507641724,Enjoying the sun,,2024-01-06 19:09:43+00:00,4108,Run,"Vancouver, Canada",10.0,6.45,1h 4m
2,22274135,Ben Preisner,10502471529,Lil afternoon,,2024-01-05 23:36:01+00:00,2058,Run,"Vancouver, Canada",5.0,6.75,33m 46s
3,22274135,Ben Preisner,10500257203,10 with John,,2024-01-05 16:47:28+00:00,4065,Run,"Vancouver, Canada",10.2,6.52,1h 6m
4,22274135,Ben Preisner,10495150407,Pissing rain in PSP,2x8mi. Took a lot of motivation to restart loop the 2nd time.,2024-01-04 16:21:53+00:00,6448,Run,,16.0,6.72,1h 47m
5,22274135,Ben Preisner,10487909705,Workout: 12x1k w/2min rec,2:51avg. Rolling in that comfy zone ✅,2024-01-03 17:44:24+00:00,3380,Run,"Electoral Area A, Canada",9.14,5.98,54m 40s
6,22274135,Ben Preisner,10502478185,"Wed, Jan 3 WU/CD",,2024-01-03 16:12:00+00:00,2400,Run,,6.0,6.67,40m 0s
7,22274135,Ben Preisner,10483136775,Dark,,2024-01-03 00:36:51+00:00,2028,Run,"Vancouver, Canada",5.0,6.73,33m 43s
8,22274135,Ben Preisner,10483136434,Morning 10,,2024-01-02 17:20:37+00:00,4652,Run,"Vancouver, Canada",10.01,6.57,1h 5m
9,22274135,Ben Preisner,10475636253,On pace for 6570 miles in 2024,,2024-01-01 18:03:18+00:00,7261,Run,"Vancouver, Canada",18.0,6.43,1h 55m
10,22274135,Ben Preisner,10651384960,Morning 8,,2024-01-29 00:22:40+00:00,3351,Run,"Oita, Japan",8.0,6.5,52m 5s
11,22274135,Ben Preisner,10643717834,Back 12k,,2024-01-28 01:04:12+00:00,4274,Run,"Oita, Japan",10.0,6.53,1h 5m
12,22274135,Ben Preisner,10636581014,"Fri, Jan 27 WU/CD",,2024-01-27 01:56:00+00:00,2400,Run,,6.0,6.67,40m 0s
13,22274135,Ben Preisner,10636568472,Flushout 8mi Tempo,"Felt pretty smooth! Got a little overzealous at the breakfast buffet - warmup 4mi to the bathroom, cooldown 2mi.",2024-01-27 01:28:57+00:00,2372,Run,"Oita, Japan",8.0,4.93,39m 32s
14,22274135,Ben Preisner,10631181458,"Ok, Oita! 😍",,2024-01-26 05:18:15+00:00,3876,Run,"Oita, Japan",8.01,6.37,50m 59s
15,22274135,Ben Preisner,10631191150,30min shake post flight,,2024-01-25 08:00:00+00:00,1800,Run,,4.0,7.5,30m 0s
16,22274135,Ben Preisner,10621325513,EZ 10 ✈️,,2024-01-24 15:55:13+00:00,4072,Run,"Vancouver, Canada",10.0,6.5,1h 5m
17,22274135,Ben Preisner,10615732945,Workout: 2x(1600-1200-1000-800),4:35-3:22-2:48-2:11 | 4:31-3:21-2:45-2:11. Good little sharpening session! 🌧️,2024-01-23 18:02:52+00:00,2650,Run,"Electoral Area A, Canada",7.17,5.83,41m 47s
18,22274135,Ben Preisner,10617133783,"Tues, Jan 23 WU/CD",,2024-01-23 16:22:58+00:00,2400,Run,,6.0,6.67,40m 0s
19,22274135,Ben Preisner,10608621434,Out & back 8. Don’t know what happened with the gps there.,,2024-01-22 17:14:16+00:00,3496,Run,"Vancouver, Canada",8.0,6.72,53m 49s
20,22274135,Ben Preisner,10691742716,2:08:58 😅,"Wow that was fun, painful, enlightening, rewarding, and so many other things. Auto standard slipped through the fingers, but I’m happy. Will remember this one 🙌",2024-02-04 03:00:02+00:00,7738,Run,"Oita, Japan",26.38,4.88,2h 8m
21,22274135,Ben Preisner,10684343713,Pre-comp,,2024-02-03 01:47:11+00:00,2086,Run,"Oita, Japan",5.0,6.7,33m 35s
22,22274135,Ben Preisner,10678384425,Lil jog,,2024-02-02 01:50:48+00:00,2740,Run,"Oita, Japan",6.14,6.27,38m 32s
23,22274135,Ben Preisner,10671728824,Spoke to a soft spoken elderly man and he ended our conversation with “Sunday is fun day”. That’s just the good vibes we need.,,2024-02-01 01:13:58+00:00,3586,Run,"Oita, Japan",8.0,6.63,53m 8s
24,22274135,Ben Preisner,10664813168,T*per time,,2024-01-30 23:59:12+00:00,3970,Run,"Oita, Japan",10.0,6.17,1h 1m
25,22274135,Ben Preisner,10657780534,"Tues, Jan 30 WU/CD",,2024-01-30 03:04:07+00:00,2400,Run,,6.0,6.67,40m 0s
26,22274135,Ben Preisner,10657655651,Finishing touches: 5x1mile w/90s rec,~4:42avg. Cruise control!,2024-01-30 01:36:06+00:00,1778,Run,"Oita, Japan",5.37,5.43,29m 12s
27,22274135,Ben Preisner,10789295220,Morning 10 w Luc,,2024-02-18 17:06:30+00:00,4277,Run,"Vancouver, Canada",10.61,6.5,1h 9m
28,22274135,Ben Preisner,10789290477,Watch missed 0.6mi,,2024-02-17 19:48:41+00:00,2959,Run,"Electoral Area A, Canada",6.28,7.35,46m 14s
29,22274135,Ben Preisner,10776818222,Afternoon 5,,2024-02-17 00:16:30+00:00,2401,Run,"Vancouver, Canada",5.06,6.52,33m 0s
30,22274135,Ben Preisner,10769354518,45min PSP,,2024-02-15 20:14:42+00:00,2700,Run,,7.0,6.43,45m 0s
31,22274135,Ben Preisner,10761737235,Getting back to it w/ John and Tom,,2024-02-14 16:59:42+00:00,1999,Run,"Vancouver, Canada",5.0,6.48,32m 29s
32,22274135,Ben Preisner,10837094506,Rest of LR,,2024-02-25 20:20:16+00:00,1591,Run,,4.3,6.17,26m 31s
33,22274135,Ben Preisner,10836942530,Dead watch LR with John,Ultratrac mode couldn’t make the 7% last,2024-02-25 17:02:13+00:00,3758,Run,"Vancouver, Canada",9.68,6.32,1h 1m
34,22274135,Ben Preisner,10829381100,Seawall,,2024-02-24 18:48:51+00:00,4052,Run,"Vancouver, Canada",10.0,6.43,1h 4m
35,22274135,Ben Preisner,10823627493,Lil shake,,2024-02-24 01:14:01+00:00,1594,Run,"Vancouver, Canada",4.0,6.45,25m 52s
