,Athlete ID,Athlete Name,Activity ID,Activity Name,Description,Start Date,Elapsed Time,Type,Location,Distance (mi),Pace (min/mi),Time
0,16604584,Laura Nagel,10507582454,Day for it 🙌,"Way to end the holidays… LR, Bagels, Iced Coffee, Dip 💦",2024-01-06 18:34:18+00:00,7577,Run,"Waitakere Ranges, New Zealand",15.55,7.67,1h 59m
1,16604584,Laura Nagel,10502445834,Afternoon Run,,2024-01-06 04:19:09+00:00,1961,Run,"Henderson-Massey, New Zealand",4.36,7.27,31m 40s
2,16604584,Laura Nagel,10500838346,Morning Run,,2024-01-05 20:19:00+00:00,1807,Run,"Upper Harbour, New Zealand",3.63,8.28,30m 7s
3,16604584,Laura Nagel,10500702514,150s,W/ Stuart Hofmeyr,2024-01-05 19:57:18+00:00,987,Run,"Upper Harbour, New Zealand",1.45,11.13,16m 12s
4,16604584,Laura Nagel,10500545899,Morning Run,,2024-01-05 19:06:18+00:00,1827,Run,"Upper Harbour, New Zealand",4.1,7.4,30m 21s
5,16604584,Laura Nagel,10496341452,Make easy days easy,Don’t think I could go quicker today even if I forced it 💁‍♀️,2024-01-05 02:11:13+00:00,1819,Run,"Waitakere Ranges, New Zealand",3.79,7.98,30m 16s
6,16604584,Laura Nagel,10489920698,Afternoon Run,,2024-01-04 02:59:01+00:00,2140,Run,"Waitakere Ranges, New Zealand",4.98,6.8,33m 52s
7,16604584,Laura Nagel,10488398009,Morning Run,,2024-01-03 20:01:16+00:00,3506,Run,"Waitakere Ranges, New Zealand",7.52,7.5,56m 22s
8,16604584,Laura Nagel,10483311851,Afternoon Run,,2024-01-03 02:32:52+00:00,2428,Run,"Waitakere Ranges, New Zealand",5.9,6.78,40m 5s
9,16604584,Laura Nagel,10481547169,Morning Run,,2024-01-02 19:43:53+00:00,1589,Run,"Upper Harbour, New Zealand",3.41,7.68,26m 15s
10,16604584,Laura Nagel,10481353174,Lactic Laura,,2024-01-02 19:14:32+00:00,1417,Run,"Upper Harbour, New Zealand",3.67,5.9,21m 40s
11,16604584,Laura Nagel,10481130772,Morning Run,,2024-01-02 18:32:35+00:00,1329,Run,"Upper Harbour, New Zealand",2.91,7.38,21m 30s
12,16604584,Laura Nagel,10475815834,No ankle rolls today 😅,,2024-01-01 19:42:40+00:00,3706,Run,"Waitakere Ranges, New Zealand",7.83,7.68,1h 0m
13,16604584,Laura Nagel,10471550514,Afternoon Run,,2024-01-01 03:56:17+00:00,1965,Run,"Waitakere Ranges, New Zealand",3.91,7.85,30m 45s
14,16604584,Laura Nagel,10470649202,2024 begins with a rolled ankle 👍,"Luckily mine are fairly springy 🤦‍♀️🤦‍♀️🤦‍♀️ 
There’s usually one per year so getting it out the way early!",2023-12-31 21:07:34+00:00,3050,Run,"Waitakere Ranges, New Zealand",6.22,7.75,48m 14s
15,16604584,Laura Nagel,10552641044,Morning Run,,2024-01-13 18:58:06+00:00,6146,Run,"Devonport-Takapuna, New Zealand",11.31,7.93,1h 29m
16,16604584,Laura Nagel,10547490154,Evening Run,,2024-01-13 05:42:03+00:00,1821,Run,"Waitakere Ranges, New Zealand",3.91,7.75,30m 21s
17,16604584,Laura Nagel,10545748339,Morning Run,,2024-01-12 20:14:26+00:00,1204,Run,"Upper Harbour, New Zealand",2.49,8.05,20m 4s
18,16604584,Laura Nagel,10545600136,Morning Run,,2024-01-12 19:45:05+00:00,1483,Run,"Upper Harbour, New Zealand",3.87,5.98,23m 9s
19,16604584,Laura Nagel,10545599290,Morning Run,,2024-01-12 19:07:02+00:00,1211,Run,"Upper Harbour, New Zealand",2.59,7.78,20m 11s
20,16604584,Laura Nagel,10538810614,Femmi RC,,2024-01-11 17:35:59+00:00,2135,Run,"Waitematā, New Zealand",3.76,9.02,33m 54s
21,16604584,Laura Nagel,10535241838,Afternoon Run,,2024-01-11 04:38:27+00:00,1855,Run,"Waitakere Ranges, New Zealand",3.94,7.83,30m 51s
22,16604584,Laura Nagel,10533542824,Morning Run,,2024-01-10 20:06:32+00:00,2853,Run,"Waitakere Ranges, New Zealand",6.77,6.65,45m 1s
23,16604584,Laura Nagel,10528747409,Afternoon Run,Unpleasant,2024-01-10 04:38:08+00:00,1642,Run,"Upper Harbour, New Zealand",3.11,8.58,26m 41s
