,Athlete ID,Athlete Name,Activity ID,Activity Name,Description,Start Date,Elapsed Time,Type,Location,Distance (mi),Pace (min/mi),Time
0,130452405,Dennis Kipkurui,10863630563,Afternoon Run,,2024-02-11 20:35:49+00:00,4240,Run,"Williamsburg, USA",8.7,8.08,1h 10m
1,130452405,Dennis Kipkurui,10863621235,Evening Run,,2024-02-10 02:48:07+00:00,849,Run,,3.0,4.72,14m 9s
2,130452405,Dennis Kipkurui,10863618208,Evening Run,,2024-02-10 02:02:37+00:00,1151,Run,,0.87,21.9,19m 11s
3,130452405,Dennis Kipkurui,10863619349,Evening Run,,2024-02-10 01:05:16+00:00,1481,Run,"Nashville-Davidson, USA",3.41,7.2,24m 34s
4,130452405,Dennis Kipkurui,10863617672,Morning Run,,2024-02-08 12:12:15+00:00,1072,Run,"Williamsburg, USA",2.31,7.68,17m 49s
5,130452405,Dennis Kipkurui,10863616897,Afternoon Run,,2024-02-07 20:37:23+00:00,3419,Run,"Williamsburg, USA",7.79,7.3,56m 51s
6,130452405,Dennis Kipkurui,10863614103,Afternoon Run,,2024-02-06 21:32:00+00:00,33,Run,"Williamsburg, USA",0.12,4.32,33s
7,130452405,Dennis Kipkurui,10863613610,Afternoon Run,,2024-02-06 21:28:59+00:00,62,Run,"Williamsburg, USA",0.25,4.1,1m 2s
8,130452405,Dennis Kipkurui,10863613253,Afternoon Run,,2024-02-06 21:25:29+00:00,102,Run,"Williamsburg, USA",0.37,4.5,1m 42s
9,130452405,Dennis Kipkurui,10863612806,Afternoon Run,,2024-02-06 21:17:36+00:00,187,Run,"Williamsburg, USA",0.63,4.92,3m 7s
10,130452405,Dennis Kipkurui,10863612284,Afternoon Run,,2024-02-06 21:13:35+00:00,2,Run,,2.0,,
11,130452405,Dennis Kipkurui,10863611780,Afternoon Run,,2024-02-06 21:09:39+00:00,179,Run,"Williamsburg, USA",0.63,4.73,2m 59s
12,130452405,Dennis Kipkurui,10863611332,Afternoon Run,,2024-02-06 21:05:39+00:00,177,Run,"Williamsburg, USA",0.61,4.78,2m 57s
13,130452405,Dennis Kipkurui,10863610835,Afternoon Run,,2024-02-06 21:01:41+00:00,175,Run,"Williamsburg, USA",0.63,4.6,2m 55s
14,130452405,Dennis Kipkurui,10863610293,Afternoon Run,,2024-02-06 20:57:42+00:00,181,Run,"Williamsburg, USA",0.64,4.72,3m 1s
15,130452405,Dennis Kipkurui,10863609877,Afternoon Run,,2024-02-06 20:20:49+00:00,1211,Run,"Williamsburg, USA",3.02,6.67,20m 11s
16,130452405,Dennis Kipkurui,10863608652,Afternoon Run,,2024-02-05 21:14:14+00:00,26,Run,"Williamsburg, USA",0.1,4.32,26s
17,130452405,Dennis Kipkurui,10863608308,Afternoon Run,,2024-02-05 21:13:11+00:00,25,Run,"Williamsburg, USA",0.09,4.33,25s
18,130452405,Dennis Kipkurui,10863607925,Afternoon Run,,2024-02-05 21:12:00+00:00,24,Run,"Williamsburg, USA",0.09,4.22,24s
19,130452405,Dennis Kipkurui,10863607607,Afternoon Run,,2024-02-05 21:10:53+00:00,29,Run,"Williamsburg, USA",0.1,4.83,29s
20,130452405,Dennis Kipkurui,10864227060,Afternoon Run,,2024-02-16 18:03:42+00:00,871,Run,,2.81,5.17,14m 31s
21,130452405,Dennis Kipkurui,10864226467,Lunch Run,,2024-02-16 17:03:50+00:00,1906,Run,"Louisville, USA",3.73,6.97,26m 0s
22,130452405,Dennis Kipkurui,10864225013,Afternoon Run,,2024-02-15 21:07:48+00:00,3133,Run,"Williamsburg, USA",1.68,10.22,17m 11s
23,130452405,Dennis Kipkurui,10864223448,Afternoon Run,,2024-02-15 20:59:26+00:00,36,Run,"Williamsburg, USA",0.13,4.48,36s
24,130452405,Dennis Kipkurui,10864222955,Afternoon Run,,2024-02-15 20:57:59+00:00,34,Run,"Williamsburg, USA",0.12,4.57,34s
25,130452405,Dennis Kipkurui,10864222417,Afternoon Run,,2024-02-15 20:56:17+00:00,35,Run,"Williamsburg, USA",0.12,4.58,35s
26,130452405,Dennis Kipkurui,10864222132,Afternoon Run,,2024-02-15 20:54:32+00:00,40,Run,"Williamsburg, USA",0.12,5.38,40s
27,130452405,Dennis Kipkurui,10864221853,Afternoon Run,,2024-02-15 20:25:40+00:00,1584,Run,"Williamsburg, USA",3.23,8.13,26m 21s
28,130452405,Dennis Kipkurui,10864220501,Afternoon Run,,2024-02-14 21:32:38+00:00,3682,Run,"Williamsburg, USA",7.46,8.17,1h 0m
29,130452405,Dennis Kipkurui,10864218384,Afternoon Run,,2024-02-13 21:53:49+00:00,38,Run,"Williamsburg, USA",0.13,4.85,38s
30,130452405,Dennis Kipkurui,10864218016,Afternoon Run,,2024-02-13 21:51:22+00:00,35,Run,"Williamsburg, USA",0.12,4.63,35s
31,130452405,Dennis Kipkurui,10864217826,Afternoon Run,,2024-02-13 21:45:27+00:00,67,Run,"Williamsburg, USA",0.25,4.43,1m 7s
32,130452405,Dennis Kipkurui,10864217423,Afternoon Run,,2024-02-13 21:41:37+00:00,177,Run,"Williamsburg, USA",0.63,4.67,2m 57s
33,130452405,Dennis Kipkurui,10864217055,Afternoon Run,,2024-02-13 21:36:37+00:00,73,Run,"Williamsburg, USA",0.25,4.87,1m 13s
34,130452405,Dennis Kipkurui,10863642671,Afternoon Run,,2024-02-13 21:32:45+00:00,185,Run,"Williamsburg, USA",0.63,4.87,3m 5s
35,130452405,Dennis Kipkurui,10863641054,Afternoon Run,,2024-02-13 21:27:43+00:00,70,Run,"Williamsburg, USA",0.25,4.6,1m 10s
36,130452405,Dennis Kipkurui,10863639849,Afternoon Run,,2024-02-13 21:23:49+00:00,177,Run,"Williamsburg, USA",0.63,4.67,2m 57s
37,130452405,Dennis Kipkurui,10863639212,Afternoon Run,,2024-02-13 21:18:47+00:00,66,Run,"Williamsburg, USA",0.25,4.37,1m 6s
38,130452405,Dennis Kipkurui,10863636518,Afternoon Run,,2024-02-13 21:14:59+00:00,171,Run,"Williamsburg, USA",0.63,4.53,2m 51s
39,130452405,Dennis Kipkurui,10863635913,Afternoon Run,,2024-02-13 21:09:57+00:00,70,Run,"Williamsburg, USA",0.26,4.48,1m 10s
40,130452405,Dennis Kipkurui,10863634032,Afternoon Run,,2024-02-13 21:06:09+00:00,171,Run,"Williamsburg, USA",0.63,4.47,2m 51s
41,130452405,Dennis Kipkurui,10863635490,Afternoon Run,,2024-02-13 20:57:13+00:00,172,Run,"Williamsburg, USA",0.62,4.6,2m 52s
42,130452405,Dennis Kipkurui,10863635686,Afternoon Run,,2024-02-13 20:21:17+00:00,1174,Run,"Williamsburg, USA",2.91,6.72,19m 34s
43,130452405,Dennis Kipkurui,10863631978,Afternoon Run,,2024-02-12 21:25:36+00:00,26,Run,"Williamsburg, USA",0.09,4.5,26s
44,130452405,Dennis Kipkurui,10863633547,Afternoon Run,,2024-02-12 21:24:19+00:00,26,Run,"Williamsburg, USA",0.09,4.37,26s
45,130452405,Dennis Kipkurui,10863633785,Afternoon Run,,2024-02-12 21:23:08+00:00,28,Run,"Williamsburg, USA",0.1,4.47,28s
46,130452405,Dennis Kipkurui,10863630699,Afternoon Run,,2024-02-12 21:21:43+00:00,27,Run,"Williamsburg, USA",0.09,4.63,27s
47,130452405,Dennis Kipkurui,10863632598,Afternoon Run,,2024-02-12 21:18:35+00:00,40,Run,"Williamsburg, USA",0.1,5.58,36s
48,130452405,Dennis Kipkurui,10863632993,Afternoon Run,,2024-02-12 20:29:07+00:00,2914,Run,"Whitley County, USA",7.44,6.53,48m 34s
49,130452405,Dennis Kipkurui,10865476173,Afternoon Run,,2024-02-25 20:15:14+00:00,1935,Run,"Williamsburg, USA",3.99,7.88,31m 27s
50,130452405,Dennis Kipkurui,10865475703,Lunch Run,,2024-02-23 17:04:14+00:00,1190,Run,"Williamsburg, USA",0.35,,19m 48s
51,130452405,Dennis Kipkurui,10865475424,Lunch Run,,2024-02-23 16:31:12+00:00,965,Run,,1.89,8.47,16m 1s
52,130452405,Dennis Kipkurui,10865475132,Lunch Run,,2024-02-23 16:22:25+00:00,129,Run,,0.51,4.17,2m 9s
53,130452405,Dennis Kipkurui,10865474931,Lunch Run,,2024-02-23 16:16:09+00:00,135,Run,,0.51,4.38,2m 15s
54,130452405,Dennis Kipkurui,10865474778,Lunch Run,,2024-02-23 16:12:24+00:00,137,Run,"Williamsburg, USA",0.51,4.48,2m 17s
55,130452405,Dennis Kipkurui,10865474645,Lunch Run,,2024-02-23 16:08:36+00:00,138,Run,"Williamsburg, USA",0.5,4.52,2m 18s
56,130452405,Dennis Kipkurui,10865474502,Lunch Run,,2024-02-23 16:04:51+00:00,136,Run,"Williamsburg, USA",0.51,4.42,2m 16s
57,130452405,Dennis Kipkurui,10865474397,Morning Run,,2024-02-23 15:57:50+00:00,181,Run,"Williamsburg, USA",0.63,4.75,3m 1s
58,130452405,Dennis Kipkurui,10865474221,Morning Run,,2024-02-23 15:53:49+00:00,182,Run,"Williamsburg, USA",0.64,4.73,3m 2s
59,130452405,Dennis Kipkurui,10865474053,Morning Run,,2024-02-23 15:49:47+00:00,181,Run,"Williamsburg, USA",0.64,4.72,3m 1s
60,130452405,Dennis Kipkurui,10865473825,Morning Run,,2024-02-23 15:45:44+00:00,183,Run,"Williamsburg, USA",0.63,4.77,3m 3s
61,130452405,Dennis Kipkurui,10865473698,Morning Run,,2024-02-23 15:05:26+00:00,1206,Run,"Williamsburg, USA",3.08,6.53,20m 6s
62,130452405,Dennis Kipkurui,10865473346,Afternoon Run,,2024-02-22 19:34:49+00:00,2571,Run,"Williamsburg, USA",6.19,6.88,42m 43s
63,130452405,Dennis Kipkurui,10864281207,Morning Run,,2024-02-22 12:31:53+00:00,2652,Run,"Williamsburg, USA",6.42,6.82,43m 47s
64,130452405,Dennis Kipkurui,10864278949,Afternoon Run,,2024-02-20 22:00:56+00:00,927,Run,"Williamsburg, USA",0.03,9.03,16s
65,130452405,Dennis Kipkurui,10864278064,Afternoon Run,,2024-02-20 21:46:13+00:00,658,Run,"Williamsburg, USA",1.04,10.35,10m 47s
66,130452405,Dennis Kipkurui,10864277419,Afternoon Run,,2024-02-20 21:38:52+00:00,30,Run,"Williamsburg, USA",0.13,3.85,30s
67,130452405,Dennis Kipkurui,10864277096,Afternoon Run,,2024-02-20 21:36:55+00:00,30,Run,"Williamsburg, USA",0.11,4.25,30s
68,130452405,Dennis Kipkurui,10864276615,Afternoon Run,,2024-02-20 21:34:56+00:00,28,Run,"Williamsburg, USA",0.12,3.63,28s
69,130452405,Dennis Kipkurui,10864276295,Afternoon Run,,2024-02-20 21:32:59+00:00,29,Run,"Williamsburg, USA",0.12,4.03,29s
70,130452405,Dennis Kipkurui,10864275819,Afternoon Run,,2024-02-20 21:25:36+00:00,177,Run,"Williamsburg, USA",0.63,4.65,2m 57s
71,130452405,Dennis Kipkurui,10864275326,Afternoon Run,,2024-02-20 21:21:20+00:00,242,Run,"Williamsburg, USA",0.63,4.85,3m 5s
72,130452405,Dennis Kipkurui,10864274742,Afternoon Run,,2024-02-20 21:17:14+00:00,180,Run,"Williamsburg, USA",0.63,4.75,3m 0s
73,130452405,Dennis Kipkurui,10864250029,Afternoon Run,,2024-02-20 21:13:08+00:00,183,Run,"Williamsburg, USA",0.63,4.78,3m 3s
74,130452405,Dennis Kipkurui,10864249323,Afternoon Run,,2024-02-20 21:09:03+00:00,182,Run,"Williamsburg, USA",0.63,4.8,3m 2s
75,130452405,Dennis Kipkurui,10864239640,Afternoon Run,,2024-02-20 21:04:58+00:00,182,Run,"Williamsburg, USA",0.63,4.77,3m 2s
76,130452405,Dennis Kipkurui,10864236473,Afternoon Run,,2024-02-20 21:00:55+00:00,181,Run,"Williamsburg, USA",0.63,4.78,3m 1s
77,130452405,Dennis Kipkurui,10864235418,Afternoon Run,,2024-02-20 20:56:49+00:00,182,Run,"Williamsburg, USA",0.63,4.78,3m 2s
78,130452405,Dennis Kipkurui,10864234936,Afternoon Run,,2024-02-20 20:23:50+00:00,1322,Run,"Williamsburg, USA",2.73,7.6,20m 45s
79,130452405,Dennis Kipkurui,10864232935,Afternoon Run,,2024-02-19 21:20:56+00:00,21,Run,"Williamsburg, USA",0.09,3.73,21s
80,130452405,Dennis Kipkurui,10864230502,Afternoon Run,,2024-02-19 21:17:01+00:00,22,Run,"Williamsburg, USA",0.09,3.77,22s
81,130452405,Dennis Kipkurui,10864230112,Afternoon Run,,2024-02-19 21:13:49+00:00,22,Run,"Williamsburg, USA",0.09,3.92,22s
82,130452405,Dennis Kipkurui,10864229533,Afternoon Run,,2024-02-19 21:11:01+00:00,26,Run,"Williamsburg, USA",0.09,4.67,26s
83,130452405,Dennis Kipkurui,10864229434,Afternoon Run,,2024-02-19 20:21:40+00:00,2602,Run,"Williamsburg, USA",6.98,6.22,43m 22s
84,130452405,Dennis Kipkurui,10878077047,Afternoon Run,,2024-03-02 21:57:54+00:00,5,Run,,0.0,36.37,4s
85,130452405,Dennis Kipkurui,10878077084,Afternoon Run,,2024-03-02 20:51:45+00:00,1252,Run,"Brookings, USA",2.93,7.07,20m 47s
