Athlete ID,Athlete Name,Consistency Percentage,Standard Deviation,Median-to-Mean Ratio,Max-to-Median Ratio,No Data Count
47140760,Ko OCHIAI,100.0,10.34023932572928,0.8202973497091144,3.4893617021276597,0
19061864,Rob MCMANUS,100.0,12.157462396468729,0.9117997616209773,3.2941176470588243,0
142181772,Esther SEELAND,100.0,13.144198713570601,0.9665914403159508,1.3883677298311445,0
39397963,Kate CURRENT,100.0,13.705758612658459,0.8849189862899876,2.873239436619718,0
21429001,Erin TESCHUK,100.0,14.46283393052223,1.0110124857279656,1.221311475409836,0
28934783,Yuichiro NISHIKAWA,100.0,15.42928098441696,0.851876453005646,5.56140350877193,0
46801273,Hayley KITCHING,100.0,15.760014057009377,1.0407554671968189,1.320916905444126,0
42575476,Florence CARON,100.0,17.184402418359326,0.9960375197350091,1.2433566433566434,0
33502406,Henry FISHER,100.0,18.19092273963986,1.0572536496350362,2.0517799352750807,0
27792886,Abbey COOPER,100.0,19.39413271543338,0.9795134443021767,3.068627450980393,0
39319235,Tyler BILYARD,100.0,19.68155160295737,1.01922113940141,1.348639455782313,0
43684184,Marisa HOWARD,100.0,19.79211912563718,1.0326941213454888,1.324853228962818,0
28079951,Ishmael ARTHUR,100.0,19.799165628567344,1.0486198072630262,1.8271028037383177,0
27649138,Alex TEUBEL,100.0,19.95153667093513,1.007224536831841,1.8138613861386137,0
19848564,Rachel SMITH,100.0,20.172383640511843,0.9802245186231509,1.8191126279863483,0
18305409,Ole HESSELBJERG,100.0,20.644415485817113,1.0186821509719766,1.3327137546468402,0
19033722,Joseph TUFFIN,100.0,21.00010665937749,1.030853909066243,1.353637901861252,0
63449551,Olivia MARKEZICH,100.0,21.585943522607806,1.0989367219917012,1.4106194690265486,0
12553443,Angus HARRINGTON,100.0,21.665670807318087,1.026186579378069,1.9354066985645935,0
7860120,Mica RIVERA,100.0,21.95982197937435,1.0790517890127935,1.1726105563480742,0
59215429,Sage HURTA-KLECKER,100.0,22.670424944475723,0.9992810927390368,1.4550359712230216,0
53091912,George COUTTIE,100.0,22.712722478638653,1.049181164226315,1.4310722100656454,0
11747326,Tom ANDERSON,100.0,23.827696537963373,1.0339227715626125,1.3952879581151834,0
