Average_Results_Score,Total_Results_Score,Disciplines,Discipline_Count
1154.6666666666667,3464,"['5000m', '10000m', 'HM']",3
1154.5,2309,"['5000m', '1500m']",2
1153.5,2307,"['HM', 'Marathon']",2
1153.0,2306,"['3000m SC', '1500m']",2
1153.0,2306,"['5000m', '1500m']",2
1153.0,2306,"['HM', 'Marathon']",2
1152.6666666666667,3458,"['5000m', '10000m', 'HM']",3
1152.6666666666667,3458,"['HM', 'Marathon']",3
1152.5,2305,"['5000m', '10000m']",2
1152.5,2305,"['5000m', '3000m SC']",2
1152.5,2305,"['10000m', 'Marathon']",2
1152.3333333333333,3457,"['10000m', 'HM', 'Marathon']",3
1152.0,2304,"['10000m', 'Marathon']",2
1152.0,2304,"['HM', 'Marathon']",2
1152.0,3456,"['5000m', '10000m', 'HM']",3
1152.0,2304,"['5000m', '10000m']",2
1151.5,2303,"['5000m', '10000m']",2
1151.5,2303,"['5000m', '1500m']",2
1151.5,2303,"['5000m', 'HM']",2
1151.0,2302,"['3000m SC', '1500m']",2
1151.0,2302,"['HM', 'Marathon']",2
1151.0,2302,"['5000m', '10000m']",2
1151.0,2302,"['5000m', '10000m']",2
1150.5,2301,"['HM', 'Marathon']",2
1150.5,2301,"['HM', 'Marathon']",2
1150.5,2301,"['5000m', '10000m']",2
1150.0,2300,"['5000m', '1500m']",2
1150.0,2300,"['HM', 'Marathon']",2
1150.0,2300,"['3000m SC', '1500m']",2
1150.0,2300,"['5000m', '10000m']",2
1150.0,2300,"['HM', 'Marathon']",2
1149.6666666666667,3449,"['5000m', '10000m', '1500m']",3
1149.5,2299,"['3000m SC', '1500m']",2
1149.5,2299,"['10000m', 'HM']",2
1149.0,3447,"['10000m', 'HM', 'Marathon']",3
1148.0,2296,"['5000m', '10000m']",2
1147.5,2295,"['HM', 'Marathon']",2
1147.0,2294,"['5000m', '3000m SC']",2
1147.0,2294,"['5000m', '1500m']",2
1147.0,2294,"['HM', 'Marathon']",2
1147.0,2294,"['10000m', '3000m SC']",2
1146.0,2292,"['5000m', '3000m SC']",2
1146.0,2292,"['HM', 'Marathon']",2
1146.0,2292,"['5000m', '10000m']",2
1145.0,2290,"['HM', 'Marathon']",2
1145.0,2290,"['3000m SC', '1500m']",2
1144.5,4578,"['5000m', '10000m', 'HM', 'Marathon']",4
1144.5,2289,"['3000m SC', '1500m']",2
1144.5,2289,"['10000m', 'HM']",2
1143.6666666666667,3431,"['5000m', '10000m', 'HM']",3
1143.5,2287,"['5000m', '10000m']",2
1142.5,2285,"['HM', 'Marathon']",2
1142.3333333333333,3427,"['10000m', 'HM', 'Marathon']",3
1142.3333333333333,3427,"['5000m', '10000m', 'HM']",3
1142.0,3426,"['5000m', '10000m', 'HM']",3
1142.0,2284,"['HM', 'Marathon']",2
1142.0,2284,"['HM', 'Marathon']",2
1141.5,2283,"['5000m', '1500m']",2
1141.5,2283,"['10000m', 'HM']",2
1141.0,2282,"['5000m', '10000m']",2
1140.6666666666667,3422,"['5000m', '10000m', '1500m']",3
1140.5,2281,"['5000m', '10000m']",2
1140.5,2281,"['5000m', '10000m']",2
1139.5,2279,"['5000m', '1500m']",2
1139.0,2278,"['HM', 'Marathon']",2
1138.6666666666667,3416,"['5000m', '10000m', 'HM']",3
1138.6666666666667,3416,"['HM', '5000m', '3000m SC']",3
1138.5,2277,"['5000m', '10000m']",2
1138.0,2276,"['3000m SC', '1500m']",2
1138.0,3414,"['3000m SC', '5000m', '1500m']",3
1136.5,2273,"['5000m', '10000m']",2
1136.3333333333333,3409,"['5000m', '10000m', '3000m SC']",3
1135.5,2271,"['10000m', 'HM']",2
1135.5,2271,"['HM', 'Marathon']",2
1135.3333333333333,3406,"['5000m', '10000m', 'Marathon']",3
